epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
16,training,150584,0,0.00029322914277910684,0.6223786261492088,0.2676985732826309,0.030748380425695304,0.32368516005840614,0.03602038471743591,0.21048783557798825,6.121963246622037,2.4401716149211805,1.753383823910819,0.2040250643480625,0.4825085613574277,0.03967934104804659,0.214512925776257,106.87857964869234,292.5070872968322,0.4534403494715959,119.32005840224524,0.5822793865171111,161.64452670455628,1.0,0.20546097209846445,0.20056822590028775,2.4401716149211805,106.87857964869234,292.5070872968322
17,training,150584,0,0.00029195386039254417,0.6154314393258703,0.2611859210572769,0.030857506966959755,0.3231526726463676,0.03595500210126175,0.19938262341138174,6.109708323695121,2.65489531642013,1.9647257790255972,0.20514083785226953,0.48478211895402284,0.04001497578323979,0.2064848569263047,106.6059546094972,311.51009495603654,0.4533306626988669,118.50557871247997,0.5776105451909503,160.0354065847235,1.0,0.2078881158399762,0.20363031164593337,2.65489531642013,106.6059546094972,311.51009495603654
18,training,150584,0,0.0002905719193177626,0.6004648787723792,0.24727051024874855,0.030357397765105043,0.32260824303304403,0.03606957957006163,0.19265991672777436,5.816923186639449,2.497466745890086,1.8014487851207721,0.20945041062035535,0.4863283806349888,0.040268792177174106,0.1989239619636994,106.33868361863817,296.95578921525885,0.44614856358017624,114.20921071574196,0.5634657204990271,154.23455249585098,1.0,0.21039768409794496,0.20573690656235769,2.497466745890086,106.33868361863817,296.95578921525885
19,training,150584,0,0.000289084368981398,0.6123513753163996,0.2591705302453,0.030250955347148733,0.322706309083873,0.036579240818117933,0.18699890159765659,8.043080000193482,2.595548914487703,1.8946445805925731,0.21285577252067184,0.4878156310842985,0.04063840323151577,0.1922719394166696,106.74894310982269,305.21626222134927,0.44434111632520695,113.1564644555244,0.5573041852657281,152.04199304442793,1.0,0.2120061413179636,0.20717451269815693,2.595548914487703,106.74894310982269,305.21626222134927
20,training,150584,0,0.00028749233900827596,0.5699583410024117,0.21786488856124217,0.029506722504159578,0.3223649644241562,0.0368681688900054,0.1848966270145794,7.761244451729429,2.567017785084286,1.863615113202748,0.21438699362666708,0.4887870392258249,0.041004932715233575,0.1876950538651654,107.15089392111733,302.31427695456006,0.44571458547937887,112.87709336311568,0.5568225172637442,151.45975452964643,1.0,0.2209930205980973,0.21106644414956116,2.567017785084286,107.15089392111733,302.31427695456006
21,training,150584,0,0.0002857970383635902,0.5580490226392334,0.20679406285365717,0.029261085774353175,0.3217783057828579,0.03645640634289823,0.17911425108907505,7.481665695384611,2.8188338377732043,2.113349042871652,0.21611523267388671,0.4891458677533659,0.04115083058056309,0.18246393949663228,107.90621969083233,323.79005383127827,0.4453235282896494,113.03008446626654,0.5572135744534737,151.80788480981266,1.0,0.22723206749339345,0.2131037413788425,2.8188338377732043,107.90621969083233,323.79005383127827
22,training,150584,0,0.0002839997544348315,0.545628603606725,0.19532308113623037,0.02881265142318928,0.32128534899531797,0.03689767647713781,0.17062452784280788,7.111062560765458,2.7843346571110814,2.0774430298172146,0.21661311924104507,0.49006073722031485,0.04150094935849362,0.1762152801334851,107.87682708208148,320.7429759161796,0.44690206401892335,112.39439507297747,0.5580719926748312,151.77658123318932,1.0,0.23694574625979375,0.21742425128065587,2.7843346571110814,107.87682708208148,320.7429759161796
23,training,150584,0,0.0002821018520541636,0.5322199904714194,0.18213411790680825,0.02851414468954775,0.32137149708560486,0.03658768357676675,0.16364228930639554,6.948144734473405,2.3864130644411055,1.6783668263280769,0.2167690632822408,0.49106599466573103,0.04165667609037797,0.16959206125645365,106.87009865177669,285.2319967439083,0.445342604250124,109.63732944153934,0.5549864560680631,149.0568433815955,1.0,0.2425234760306109,0.2198334089673357,2.3864130644411055,106.87009865177669,285.2319967439083
24,training,150584,0,0.0002801047724619891,0.5330456886845127,0.1833845400363545,0.028419583680203735,0.32105029826152726,0.036442926547300386,0.15482332578561112,6.767170888245715,2.6742283954493264,1.9649566828580338,0.21719731276803067,0.49187038387539145,0.04180945088295741,0.162229845452748,107.16251900517078,311.24527341704726,0.4509223226889474,110.11354041480676,0.5586347335088322,150.00042071434703,1.0,0.246172847808201,0.22055578176698185,2.6742283954493264,107.16251900517078,311.24527341704726
25,training,150584,0,0.00027801003221249155,0.5355347694004895,0.18668231937829466,0.028162240068866164,0.3205032352982318,0.03674368019133883,0.15022814214616748,7.876404110604122,2.823784329595774,2.111526097782119,0.21987613887865387,0.4921840552048312,0.041992070514287064,0.1561204113362105,108.28469714155675,323.5650560536893,0.44773663728968754,109.43210139141247,0.5528881004158559,149.02074894456288,1.0,0.24863616859238394,0.2208728589633077,2.823784329595774,108.28469714155675,323.5650560536893
