epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,1.9962017896498379,1.0310990943186154,0.06352324875111028,0.898737391178367,0.0005490137509361329,2.841494383994919,8.621577764537237,5.453138994027491,0.30573327639331555,2.8599134580729757,0.0023415006467536704,2.7899202052861045,150.54445811929224,472.79691548028444,0.21426940639269407,70.45361907819635,0.4509132420091324,162.22290239726027
1,1.711988254226365,0.9776649492134223,0.055946556368467855,0.675459164142982,0.003712297081378469,2.913882492852566,7.886871241706691,5.269097435882647,0.2922819822618406,2.32254991923293,0.011726998277518847,2.930339078380637,146.10968892694063,464.750099786048,0.1973744292237443,69.21247681221462,0.46906392694063925,165.3167594178082
2,1.4958475595726664,0.9523463886794208,0.05312920061867034,0.48726051025961936,0.014017672036587025,3.0974419341016395,7.214777462776393,5.062287518504548,0.26527167505597415,1.8840825293162098,0.03574797517224534,3.099911323312211,139.77508204908676,455.53815257065855,0.2237442922374429,74.81962935216895,0.5473744292237442,181.25025684931506
3,1.3501347995121775,0.939413314698353,0.051222845871138595,0.35624751815034156,0.03230297265278238,3.2188461441123684,6.756492337951921,4.892939555563339,0.2351967755654087,1.6251202886643474,0.0667602896180055,3.1689567885986745,130.1894656107306,447.8537914243338,0.2728310502283105,84.36372360159817,0.6118721461187214,194.4536957762557
4,1.2836545071941665,0.9292543354730822,0.04937882733092984,0.3017345781240411,0.04408965298297728,3.2426661067206877,6.508251188225942,4.810261477223814,0.21563026721346867,1.4791220928708169,0.0886622526057779,3.1486687712473413,124.13223458904109,444.0539011463447,0.3154109589041096,98.1509810216895,0.6670091324200913,216.70921446917808
5,1.248646436114748,0.9229254883159019,0.04812387446453539,0.27432703876177966,0.04827303886296885,3.22173378928714,6.344358183014883,4.727253416833812,0.19221642150046075,1.4216602628565815,0.1048162664146456,3.1232927609796395,117.62986230022831,440.20583162983337,0.38333333333333336,103.52710473744293,0.715296803652968,217.82473601598173
6,1.2304551645401594,0.9159227490553468,0.04681691844468483,0.2644485763347793,0.051622340760500804,3.215278549127123,6.208672929871573,4.624581355550518,0.17826381660487553,1.4026013877702086,0.11403335779905319,3.112394810376102,108.82192137557078,435.39912802500135,0.45159817351598175,113.74259061073059,0.7549086757990867,228.43095034246576
7,1.217450692397874,0.9079083474053941,0.04573546332790689,0.2605317113053173,0.053281040851992374,3.2218797613889234,6.105594806801783,4.5389014260001375,0.17245866133742135,1.390994480742167,0.11796103242325456,3.1221123381836775,102.43714326484019,431.34696514279494,0.4840182648401826,121.15384560502284,0.7778538812785388,236.25786244292237
8,1.2087459780316663,0.9016909928249958,0.045617085107738556,0.2581478108534518,0.054947446141984185,3.2351392654114246,6.055678981869188,4.495976161875137,0.1709309478941029,1.3855099513718527,0.1221436254169843,3.140124696574799,100.26195062785388,429.3024303592151,0.4942922374429224,128.5067886700913,0.7780821917808219,245.55692422945205
9,1.2050853531717227,0.8995556988656381,0.04561098377944533,0.256614538287407,0.05537569035098435,3.2487750761006713,6.010442813618543,4.459688091604677,0.16881656965164288,1.378665791635644,0.12318841471043351,3.1491280908453954,99.90692601312786,427.5664513495355,0.5168949771689497,133.99566923515982,0.7950913242009132,253.4533033675799
10,1.1994636645518717,0.8938694453405139,0.04581650618402493,0.25647442899906925,0.055993247050835734,3.247271673326485,6.014414281632802,4.457248363633679,0.17361007549174845,1.3802732589514288,0.12634351633182944,3.1562133985022975,102.2904180936073,427.4494736356749,0.5078767123287671,142.52353025114155,0.7987442922374429,261.6873359018265
11,1.1940189920184943,0.8903262529320892,0.044890718544799084,0.25550303220188797,0.05646994581027431,3.242505424173903,6.008169982367999,4.461146966235279,0.17175436926214663,1.3719864367826344,0.12882821468049532,3.1537127344575646,102.98057220319635,427.6363629348066,0.5300228310502283,142.4586258561644,0.8038812785388127,260.8169556221461
12,1.1883695337720093,0.8851758828131407,0.04536572546233586,0.25454898319770886,0.056642377925577254,3.2223027648641995,5.961025445510264,4.4135517190580495,0.1662918228605022,1.3779061231915264,0.1304918707539774,3.1452121081417554,105.15184788812785,425.3490599860898,0.5460045662100457,148.95959617579908,0.8208904109589041,275.0354915810502
13,1.183522693386933,0.8818046706746869,0.04509304801385759,0.25336559683947985,0.05774447335894442,3.201641191984399,5.9582590517932426,4.411480024946879,0.17048211228357601,1.3730288258562349,0.13118053884947137,3.1369771767969,107.00283247716895,425.24920467069586,0.5089041095890411,149.10395976027397,0.8087899543378996,278.8709118150685
14,1.180905394098585,0.8777299886022402,0.045592047288698805,0.25433257453219443,0.05640525775162989,3.194368374375692,5.971149746604162,4.428284306028118,0.16968701643078293,1.3699035567780065,0.13325874488035294,3.1414836942333064,108.60437357305936,426.05837033381573,0.555365296803653,158.03447131849316,0.8345890410958904,290.033105022831
15,1.1741016980905317,0.8739085065823752,0.04485765923931903,0.2521201907514872,0.05788965414722356,3.1574464262512016,5.9873426245499966,4.450684515621564,0.16754117138581734,1.3658518193315152,0.13910958207633398,3.1256496592743757,107.16026148687214,427.1346135379241,0.5453196347031963,152.7001676655251,0.8353881278538813,287.1380707762557
16,1.169586372870249,0.8703495559276038,0.044472172774648704,0.2515653746498686,0.05807309579643871,3.141208251006172,5.950596712550071,4.417997255104861,0.17066784872584148,1.358655643401897,0.13535110191123126,3.1411096768836453,109.40733447488584,425.56319197658155,0.5041095890410959,149.80473030821918,0.8114155251141553,282.359375
17,1.1723254287065523,0.8720157253340809,0.04561889839352064,0.2515126689159973,0.05812619704703568,3.1199928004011666,5.9894767751432445,4.457873816686134,0.1678098401386444,1.360544426147252,0.1404966106663828,3.108186735518991,109.23798515981736,427.4794502257352,0.5590182648401827,158.5611123002283,0.8393835616438357,294.9749928652968
18,1.163709471350829,0.8658425590444937,0.04492336995287061,0.24983072061508824,0.05789197221129969,3.054917387040033,5.933566125615003,4.40390108909509,0.17240160777144237,1.3540596346128477,0.13720078537725422,3.0666976980967062,113.80707940924657,424.8837660017998,0.4985159817351598,155.77085830479453,0.8267123287671233,295.4624215182648
19,1.1657834808716292,0.8683559924084037,0.04418987443578738,0.25014671470937827,0.05893266762292469,3.031951656729893,6.029213881737565,4.504793992148687,0.17166336497215376,1.3495455214626169,0.14899374269051094,3.0618838597650395,111.4410209760274,429.7231959228583,0.5340182648401827,157.5380386700913,0.8165525114155251,289.65359589041094
20,1.156089667146245,0.8602593824699136,0.04436811137603145,0.2484037185798143,0.058321474033962865,3.000138069748785,5.913487745311162,4.405688317222138,0.15979529190553377,1.3448132624569005,0.14380116803597098,3.0469276604587083,109.63559681792238,424.96995972264517,0.5892694063926941,161.68522402968037,0.8504566210045662,303.2232591324201
21,1.1600224044328569,0.8641519150700341,0.04532387163913054,0.24753006556441098,0.058891381126133464,2.957651082481737,6.009141273694496,4.490965127128444,0.18199406766319928,1.3330267653685726,0.15344928058042917,3.0021375512423583,111.3080051369863,429.0631309255489,0.45057077625570774,145.47861015981735,0.7950913242009132,282.2749143835616
22,1.151162079562409,0.8566414115012579,0.045343771991126686,0.24622779385060561,0.05917514912848278,2.889949936743537,5.914194360334579,4.410040732809942,0.16805462816806688,1.33297979186659,0.15390344298865696,2.965579863770367,108.2630868293379,425.17983732054716,0.5166666666666667,155.18623359018264,0.8188356164383561,290.3787100456621
23,1.1578092802849802,0.8644239580435219,0.04438480787918543,0.24609894745967867,0.06075523640835014,2.8407876745461484,5.951372421114412,4.454129088088258,0.16777023544458494,1.3264042485250185,0.15500600860543448,2.913911950098325,108.74729416381278,427.2998751852536,0.5265981735159817,156.23918735730592,0.8275114155251142,291.1099457762557
24,1.1588226699138304,0.8647197321489069,0.04427466857026075,0.24697817370773947,0.058613478656079306,2.7914619567157146,5.939074490413274,4.445924876079167,0.16891826148310754,1.3212011765943814,0.16466495847865326,2.865738858915355,108.48306399828768,426.9061781369612,0.5105022831050229,157.57201412671233,0.7994292237442923,290.03263413242007
25,1.1471462106695376,0.8567136502011549,0.0444038417569552,0.24324494369835617,0.06172107562959521,2.722021119335058,5.92120820781956,4.439000399839388,0.1634508438714563,1.3157844284421778,0.16604928119133597,2.8067639167994667,105.6995986729452,426.573561295525,0.5488584474885845,159.23131421232875,0.8299086757990868,289.92701912100455
26,1.1540596095864064,0.8629514749104285,0.04515204381725708,0.24320155085183348,0.061613507980164274,2.6929301308203977,5.942959925981417,4.462944288531395,0.16034340689035312,1.3167255823538728,0.17430343070667084,2.7722608657732404,106.93733233447489,427.7225015780259,0.5702054794520548,164.5341823630137,0.8375570776255707,297.92218892694063
