epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,1.7470595219122216,0.9931390893674027,0.058697254472093466,0.6922932605236513,0.00689497653733335,2.9230381826357443,2.4903311990711785,1.6468420692502637,0.22463778310442625,0.6158998612671682,0.0293897273197566,2.9222164559037718,102.85267194634703,211.58098075092929,0.31038812785388126,88.01432648401827,0.6062785388127854,192.568386130137
1,1.3779479219004243,0.9629984704563183,0.049573047461459296,0.3622378817553061,0.04672799221792068,3.091822109842263,2.187115325421503,1.6072396540478484,0.14610662866536886,0.43082179145453725,0.047709415587660384,2.8995766855265996,90.3121236444064,209.0215048690371,0.42226027397260274,82.96536458333334,0.7165525114155251,179.7761237157534
2,1.2952757738676497,0.9435570281095214,0.04421761343744274,0.304421994447148,0.046923296973867726,3.032194570348705,1.8137511462381442,1.2690467721795382,0.12660022459618034,0.41527376381093506,0.05027887214434473,2.780018618988664,68.6941566780822,185.73317078700188,0.5038812785388128,95.70655500856165,0.7873287671232877,197.87063356164384
3,1.282762866143426,0.9371509813384891,0.044375919292775,0.2983262060485786,0.05099880705261566,2.8587848120773782,1.8119488761033098,1.2716031109633512,0.1309838360303069,0.4067385590443872,0.05264872188539538,2.5707026821293244,68.36811322773973,185.92013616594483,0.4904109589041096,93.1138787813927,0.7670091324200913,181.5472353025114
4,1.2732502924994555,0.9332718735293849,0.04216085619110098,0.29511785325167605,0.052104432185413135,2.6476170277352806,1.7601819943891812,1.2365960010518766,0.11994917196770237,0.40117491916434406,0.05843967361605331,2.4034513898091774,67.45014269406393,183.34310849821966,0.5674657534246575,109.33265375285389,0.8138127853881278,195.1001569634703
5,1.2628205505869963,0.9260570462340942,0.04186257187017446,0.29234769200569216,0.05260406068716557,2.5006628553663837,1.7678655149185494,1.2438488557730636,0.12139674316938609,0.40027846751147755,0.0566088272284155,2.284882578131271,67.76529323630137,183.8799781026525,0.5497716894977169,111.17260987442923,0.8168949771689498,203.96174728881277
6,1.2598577995223745,0.9251782456318102,0.04189299268701997,0.29035869623500105,0.05379460907498186,2.3740775441413944,1.7242033265224874,1.2078940341325655,0.11714282809463265,0.39696876224997923,0.05923382181623211,2.1384149015766303,66.18452126141553,181.20286444256828,0.5908675799086758,122.73392194634704,0.8383561643835616,214.8720248287671
7,1.2544009358787687,0.9212755490861653,0.04175844824724862,0.28906453121380593,0.05310809976343261,2.249325002089271,1.7497353525194403,1.2337834494162911,0.11956173893931794,0.3942758104368432,0.06306776641166373,2.0512277544361273,65.67192137557078,183.1344784976654,0.5440639269406393,112.65733447488584,0.8093607305936074,198.09897260273974
8,1.2496293985759643,0.9190609444723339,0.041773979154618904,0.2866074608561576,0.054423447462059876,2.132584120206004,1.73635356418074,1.2248021465050032,0.11592818433291291,0.39361534002300813,0.0636630933680763,1.9443282467045195,66.59219820205479,182.46669240060345,0.5622146118721462,117.58614440639269,0.8170091324200913,197.38293735730593
9,1.2490301622295155,0.9186704041627393,0.04256049924608125,0.28569700392130865,0.054969825311480036,2.047296332398148,1.778337037644974,1.264450758858903,0.11430321637898275,0.3977008819988329,0.0729281111020748,1.809319181964822,68.26507206050228,185.39654403146997,0.6635844748858447,134.04078553082192,0.8755707762557078,233.5777397260274
10,1.2485904483563655,0.9199344035742707,0.04252542840344605,0.28418159557210343,0.0546191491904255,1.8943977410100639,1.6841798071175405,1.1830271017878022,0.10508334616275683,0.39430065610229154,0.07447680107330623,1.6941949726784067,59.59876391267123,179.32794981395088,0.5893835616438357,109.88977240296803,0.8343607305936073,201.5156464041096
11,1.2366277999773376,0.9125224756559732,0.04052609665875054,0.28176986732423165,0.057527975012244145,1.7518233577068092,1.6613827916040813,1.1636974893204153,0.0992019917866955,0.3968939679330342,0.0735185692571614,1.5158756432467944,63.16983269121005,177.8568956843275,0.6883561643835616,130.03286601027398,0.8609589041095891,211.64215896118722
12,1.233617252592193,0.9120714540652399,0.040698603125246785,0.27911120284415825,0.05862640127971383,1.6773602849539127,1.6743970283090253,1.1690617434374273,0.10198605146310101,0.4017824953753654,0.08537411816316108,1.4815190485078995,61.579428867009135,178.266345225852,0.6457762557077625,124.69210188356165,0.8465753424657534,215.42269192351597
13,1.2276048823642656,0.909687950915439,0.041021933328409914,0.27524195290582665,0.05886320502569457,1.5942170736653412,1.6558656088293415,1.1388791583988764,0.09773754255004125,0.41774286217477224,0.1019490169335718,1.4041301345171995,55.57776826484018,175.95008567318695,0.6412100456621005,118.99453481735159,0.8468036529680365,204.27405821917807
