epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,0,2554,1.7511995540247733,0.9995577437226998,0.06076168130351028,0.6879884196429301,0.006358128208039837,2.885335998789071,7.708118761051052,5.475881650460603,0.2854276223180018,1.9438645366459482,0.033501292805604085,2.911450316571147,159.83763008165704,473.7818060403377,0.2588798596009309,88.24609898471181,0.5356958910381138,208.29407284572792
1,1,2553,1.3379665314567541,0.9556592756913682,0.05552858665521314,0.3237484874465724,0.0471842842409296,2.9830076819627926,7.114764642105559,5.301728484969847,0.24021634290520777,1.5699097162337083,0.09945570647586903,2.8105403803109006,150.74297196161677,466.18691932809844,0.32074796841020947,101.70851384706087,0.6031580252565717,226.92305607020907
2,2,2553,1.261127827543863,0.9330817295484247,0.05124966767235359,0.27388415833197527,0.04783883875274583,2.864443567281978,6.757514042931808,5.031478495819625,0.19988298355591602,1.5233874475060905,0.09754646981715528,2.667609009082904,133.21944109373212,454.1498382618476,0.4007859295715539,115.804707768208,0.7064972721376521,251.11947400721547
3,3,2553,1.2480820758502436,0.9239084208847447,0.05024379623424199,0.27106434173365457,0.05080565474008141,2.8146977779494518,6.708510372074379,4.992874582880856,0.20264097048901128,1.510250291187703,0.09231811500015542,2.6522239720478913,131.3671004286726,452.4042536873799,0.39089027507535007,121.86223648721553,0.7026534661020183,252.52097383225316
4,4,2553,1.2500551681494274,0.924532366998981,0.050997182707890686,0.2716815400674583,0.050020477864738074,2.794066429698509,6.794204710593987,5.080210912945827,0.2032254650319886,1.5080852006865104,0.11547154089747406,2.567644173921321,137.38469710802477,456.3438666616467,0.41436801342947616,130.7346051782887,0.7278909618099272,274.3595975777107
5,5,2553,1.2438364644004838,0.9169734682328926,0.05160354944277968,0.2726250481264665,0.04985856855360377,2.5845476541620025,6.738218033444736,5.038160585944039,0.19991497092628638,1.4976789828049204,0.09893230340724217,2.3646118421228195,137.35844173098843,454.45131056990425,0.4276496509099233,132.85287780982935,0.7131118614322232,268.3754339781008
6,6,2553,1.2411859657453455,0.9135780059446132,0.05073257750195706,0.2743916716521458,0.05003995453458041,2.4336798432010602,6.715195352955843,5.014723589834215,0.20294479439323931,1.495216212693431,0.10206783722279833,2.2087057495029865,135.5534756921593,453.3930408325773,0.39472931212086526,121.15207765525447,0.7016948990881691,260.57597835832286
7,7,2553,1.239957508810165,0.9113511861748104,0.05051210897515392,0.2757194331123742,0.04899746721082933,2.3257786212507248,6.7723718482412165,5.073142215723821,0.19753301033341492,1.4994349417543062,0.1062071365397562,2.1553821981505807,136.62740265820528,456.02627886611106,0.4384991034298577,132.83025431683023,0.7392363893022014,281.24906706630804
8,8,2553,1.2382073565716376,0.9078369012100296,0.049614462344857974,0.27850003415609964,0.04759210370600667,2.2083527694437675,6.754586134381789,5.055048714500721,0.1967777501967811,1.5006422432018212,0.11329178973824328,2.0041502368004,135.18776970874586,455.2123483148758,0.45902483690053797,137.37608490799425,0.7506867345770859,283.5105440881214
9,9,2553,1.2427156459010447,0.9091756661359441,0.049201594460631555,0.28222827023260744,0.047471481925872465,2.062651226252516,6.771150584757853,5.0687505804583015,0.19421753701587094,1.506177333006532,0.11698650293153676,1.8881938338921,136.12609675595408,455.82886055794626,0.4512609209873717,135.0942654607679,0.7608923734310022,286.5427574986408
