epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,42.97443352370826,42.32574713798815,0.25888807425790133,0.3877233416549748,0.047278720575596206,2.0270090001903327,2.8049220637610945,2.272116720959539,0.22129692342245322,0.3102334127933575,0.056167717394149864,1.2188349034566006,63.79886171284838,190.33554983856288,0.6208366716264164,130.25016013374633,0.8624909389187746,260.0163919504812
1,42.70706950777136,42.141267706422454,0.23797219374192757,0.3272411288316325,0.05431219096267766,0.5338513640054842,2.93580466670549,2.3892789006547033,0.21979692964787423,0.32638427330684344,0.06575989668458253,0.2787685202995563,71.41177136351091,203.59742666173247,0.6244897180573041,134.67300584678188,0.8644128419365915,263.9239352037313
2,42.67116891155492,42.10891936459712,0.235717331516039,0.3262066358411816,0.052714636805162175,0.2727454794057697,2.8425608184199262,2.3196752006059054,0.21706035890216424,0.3055138611129728,0.05339454453751058,0.2579587457845041,67.1009651467299,194.90456413950506,0.6366220289191561,133.77496324151835,0.8681374232192591,261.6182042635964
3,42.65468390929239,42.095090427329886,0.2346071697938258,0.3246767764199625,0.051087613668549144,0.25862221088314946,2.767936395318991,2.247021888174126,0.21680510321416066,0.303805241508575,0.04749641544529348,0.25663999406604016,64.34265927979904,190.07734639865694,0.6360068291938499,133.399190404315,0.8662870550532219,258.90113179312834
4,42.64313108533148,42.084688387332214,0.23411996233502783,0.32402004263828776,0.05023441730151066,0.25213062864674207,2.864677347415943,2.337062396077552,0.21732432228504855,0.30998734520790683,0.0532595235212684,0.25004945536615975,68.75314377044704,196.6067045652535,0.6385963908282782,135.55675880653638,0.865256953187593,262.4068122192257
5,42.63190563704882,42.071510927451044,0.23365433959112641,0.32644000969640036,0.04993430891544074,0.2501443796399824,2.7816331146223754,2.2620305199296737,0.21601780794012584,0.30329737801280027,0.05102667379371768,0.2363472090742197,65.85104262419047,191.47557704500457,0.6597802449353325,143.41934672734016,0.8765594597687993,272.67001788818385
6,42.62804047220079,42.06875999115521,0.23348169521832696,0.32552202015494075,0.04937671675353738,0.2261212997911489,2.7499697657980606,2.22797054316368,0.21592999504757812,0.3058088194611717,0.0450534791955007,0.21533420276891535,62.979206793247585,186.3420391488317,0.6438995078402198,135.93712056722367,0.8679800465453436,258.30849293056826
7,42.613856653946705,42.0560129641078,0.23302205234132245,0.3245555909216971,0.04907250562633957,0.216383724273649,2.798548511731839,2.2741577777782593,0.21680218738761609,0.30733662993790317,0.045590067469713495,0.20632833696085706,65.29168192370928,189.2904466245268,0.6451775971920186,136.6019659640156,0.8695442753042616,263.12088529297097
8,42.605253023816665,42.04782789529548,0.23272351170500394,0.32444752202848715,0.04888962501694614,0.20527226575053464,2.8535745045856875,2.331892776737582,0.2158809102525069,0.3055564716425916,0.05492491109295187,0.18941183267652653,69.06286085048083,195.7160713516445,0.6519829460913357,141.59552536834488,0.8722482927015375,269.67864081844215
9,42.60142542022763,42.04307365096855,0.23273213248286292,0.32538060236278343,0.049236387211192924,0.18930892997775156,2.8278077135059316,2.2972290956129453,0.21779283370724173,0.31254689120156165,0.04956131872598538,0.1893428013562692,66.28057539281575,190.76906755475,0.6430124756781503,135.58155666096772,0.8685761703101751,262.5133487386617
