epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
10,training,150584,0,0.00029859252956866917,0.6340703029438637,0.3023936549611722,0.07408832371088492,0.25734124437470396,0.021472025343561057,0.22560605659414318,0.5990132002378128,14.184369295313605,8.834634897350597,0.3159031502171691,5.033360307899979,0.21992170236108505,0.2508812287251655,75.37913606502578,282.8201889964747,0.538957880279272,130.1597210610228,0.7427749799702416,197.4869694796555,1.0,0.733271489334936,0.1802980010275655,14.184369295313605,75.37913606502578,282.8201889964747
11,training,150584,0,0.0002979746535553042,0.6265873419103853,0.29569427271196813,0.07339843081043579,0.25726143489446546,0.021391332671306475,0.21181390357691066,0.6083314577218335,14.465128742278653,9.101644739037905,0.32494552230703977,5.038080596411404,0.22199862520863342,0.23596918394455882,77.70223139184765,286.98430546829024,0.5336881461981611,134.22486203833196,0.7279911106024188,201.75512927241903,1.0,0.7312064249246015,0.181613856525002,14.465128742278653,77.70223139184765,286.98430546829024
12,training,150584,0,0.00029724554674798404,0.6211187691690522,0.29097081901594324,0.07273248562978488,0.2571943634135904,0.021430586792755165,0.19967249004803847,0.6246313021009393,14.99045890312835,9.603819652498144,0.3424177616399732,5.043775051962245,0.2241871961399604,0.22236782454292767,82.53630170181412,294.6032110457138,0.5116649498302239,136.11366126027121,0.6971929724161612,205.0416016332897,1.0,0.7316161770562469,0.18230461651646887,14.99045890312835,82.53630170181412,294.6032110457138
13,training,150584,0,0.0002964057628201742,0.6155600504609189,0.2861705098232531,0.07201267212537878,0.2571676582924377,0.021339983898759823,0.18786840902159377,0.6512242316374797,15.397801443895213,9.989908424156937,0.361044518535308,5.046415077274883,0.2247775484727523,0.2092020856552325,87.25812981481714,300.2207379423202,0.48124356186333983,133.59130689852304,0.6614875433978101,203.14538050281848,1.0,0.7279914727010338,0.1845333224805793,15.397801443895213,87.25812981481714,300.2207379423202
14,training,150584,0,0.0002954559394919905,0.6097499650098974,0.28100908660542173,0.07137394731530337,0.2571687775855257,0.021391792490308915,0.17675983686334926,0.6892334829851803,15.626839798379166,10.19927795772846,0.3766773095665909,5.050462058548869,0.2256380056544944,0.1969915167344876,90.23224298198394,303.17759492713594,0.4563494334439739,127.80468800297943,0.6273940330395635,193.6233532826151,1.0,0.7253214506586124,0.18732072206901257,15.626839798379166,90.23224298198394,303.17759492713594
15,training,150584,0,0.00029439679804592366,0.6053749232224043,0.2773920099286676,0.07069535376799999,0.25710075294638973,0.021413248399400814,0.16539237622895808,0.7108691247145784,15.786079530787847,10.342682705028755,0.3890442015330088,5.053941227678588,0.22624781634925062,0.1852481086163113,92.11405097618247,305.1987593899358,0.43407824958986685,119.42378650810967,0.6020897714699935,181.29425511056903,1.0,0.7208841681948859,0.19101976319771363,15.786079530787847,92.11405097618247,305.1987593899358
16,training,150584,0,0.00029322914277910684,0.599968961663293,0.2726558626234087,0.07005920120627755,0.25707884684180493,0.021358004369494258,0.15369355456863662,0.7039417444097366,16.004527992476067,10.540887340511011,0.4095999702898223,5.053640325791956,0.22609731481860715,0.17380663902300833,94.10082822455267,308.03275425474493,0.4055644576704437,108.26793812786735,0.5709959558963794,164.34517687811774,1.0,0.7153745743443458,0.1944683698855303,16.004527992476067,94.10082822455267,308.03275425474493
17,training,150584,0,0.00029195386039254417,0.5952382385667513,0.26847583414643555,0.06953070605518402,0.2570660192270579,0.02138039254201347,0.1443001166529111,0.7439198952249757,16.077564643997615,10.595228196508799,0.42700337194596194,5.054943135763123,0.22632891629458315,0.16344202352911352,94.92934838940772,308.7705898574037,0.38880145740338024,99.85230765470604,0.545024035710198,151.90035593804842,1.0,0.7087474601925782,0.19866558673616233,16.077564643997615,94.92934838940772,308.7705898574037
18,training,150584,0,0.0002905719193177626,0.591330837288441,0.26515593072400867,0.06893735110215955,0.2570794054936898,0.021392454779626414,0.13675729077887988,0.8420846796017478,16.146625464283467,10.64636129796116,0.4448984473819207,5.054984043248802,0.22671338337289906,0.15463111479433556,95.48230768935574,309.48988576492343,0.3739269772233032,92.16062677793913,0.5257763915913166,141.7257447672256,1.0,0.7024356698977133,0.20239064922743039,16.146625464283467,95.48230768935574,309.48988576492343
19,training,150584,0,0.000289084368981398,0.5864143214294564,0.2608579146362609,0.06840163796542839,0.25700360238226216,0.0213974763896007,0.12976892380340832,0.7795392127783203,15.980891121338416,10.471552973441952,0.4562870950475497,5.05267755372056,0.22685669878007594,0.14693347154458272,95.17909404947768,306.8461160849033,0.3629392239899279,85.87897905161478,0.5099004234863226,133.9045849145516,1.0,0.6997531883446702,0.20536706163871668,15.980891121338416,95.17909404947768,306.8461160849033
20,training,150584,0,0.00028749233900827596,0.5834781504970377,0.2584633320728554,0.06785833375991464,0.2570122047898126,0.021411234185313856,0.12286890315431306,0.8329044126768568,15.752701875835886,10.238397105585127,0.46287749180947807,5.051061168402993,0.22692420469426217,0.13960041889264843,93.68565380470032,303.4052551207314,0.354388424707184,80.83645631396408,0.49869329670748924,127.3123826381338,1.0,0.698486996872241,0.20765457011484384,15.752701875835886,93.68565380470032,303.4052551207314
21,training,150584,0,0.0002857970383635902,0.5801079463619632,0.255438408848676,0.06752724792114768,0.2570044603540757,0.02138158189239176,0.11644793599440278,0.8990363687203395,15.508052447396967,9.996332270739975,0.4612492314035974,5.050111003266983,0.2274194525683117,0.13269664936430248,91.72363777709323,299.83774874647094,0.3509642898019915,78.3743695991187,0.49430582579832893,124.80987006960937,1.0,0.6985585828078689,0.20939893257016992,15.508052447396967,91.72363777709323,299.83774874647094
22,training,150584,0,0.0002839997544348315,0.5752341762021428,0.25117804472237454,0.06693268351003562,0.25699172338657983,0.021402174098342046,0.1103240854491833,0.8840707604627472,15.305116746736239,9.790067359424775,0.4626540036617693,5.052041463052055,0.22780010846242116,0.12600392871021993,90.46535464669533,296.7166905548849,0.3436629659303346,74.93126127605359,0.48699019495631607,121.01723900509329,1.0,0.6984010483707304,0.21092112959196058,15.305116746736239,90.46535464669533,296.7166905548849
23,training,150584,0,0.0002821018520541636,0.571693513154217,0.24810910375037554,0.06650704443427992,0.2569513484591702,0.021393454159411726,0.10462068077110236,0.9544421393857339,15.223393351197775,9.704444506642979,0.4646143311270317,5.053987075693549,0.22773689647390968,0.11982550156925587,89.79927205091612,295.42788177629683,0.3373011331120522,73.17790509925759,0.4789782915569799,119.46849890149294,1.0,0.6972637456674377,0.21249166092435556,15.223393351197775,89.79927205091612,295.42788177629683
24,training,150584,0,0.0002801047724619891,0.567932307751313,0.24468349326599118,0.06616203208962029,0.2569649186424108,0.02138317719447483,0.10048255870939848,0.9524300509765461,15.206419540402258,9.68247426782625,0.46463412174005675,5.0589680168524005,0.22820951422567504,0.11458041476629631,89.34389918928659,295.1286275011526,0.3322555415665179,72.49661048684534,0.4742140704284461,119.28972265118294,1.0,0.69688331057072,0.21389846696551684,15.206419540402258,89.34389918928659,295.1286275011526
25,training,150584,0,0.00027801003221249155,0.5644531000683459,0.24168421534952017,0.06569913441943552,0.256950171112522,0.021389251448656787,0.09819055087530616,0.9986991883676372,15.133224115033192,9.605556489931946,0.4655399970446774,5.061788153762903,0.2281177488994674,0.1107384069161092,88.25227594930475,294.0186318101645,0.32755808629964517,71.59278957941382,0.4664739994658731,116.61225681131013,1.0,0.6944812634796158,0.21550746732847773,15.133224115033192,88.25227594930475,294.0186318101645
26,training,150584,0,0.00027581922202198544,0.5622601188527029,0.23979035421969785,0.06542056342060515,0.2569322037523296,0.021379258354208855,0.09561855834466096,1.0201721225258709,15.070943130287901,9.538634975609114,0.466651766125317,5.06532017543402,0.22838088682067825,0.10753826013661447,87.2995454295489,293.0481315076611,0.3248969898134371,71.52128394701295,0.46012170462782803,114.51300220446568,1.0,0.6904082546966915,0.21762098662894241,15.070943130287901,87.2995454295489,293.0481315076611
27,training,150584,0,0.00027353400556094886,0.5585559914949959,0.23655790349050693,0.06495983942080018,0.25692323653128857,0.02133885750492424,0.09367222952964893,1.000594615037438,15.026572549632707,9.492722854726004,0.46567817984701665,5.067838555315945,0.2278917737009256,0.10461996296518548,86.51108552684524,292.3972789514238,0.3226317195070772,71.57425272905459,0.4562540536416009,113.21660358186925,1.0,0.6872328509769947,0.21969362332280534,15.026572549632707,86.51108552684524,292.3972789514238
28,training,150584,0,0.0002711561181906553,0.5554073169994534,0.23373285813634564,0.06463717849880139,0.25692339093084016,0.021403941983756242,0.09248333164599695,1.124196316047905,14.997918201912537,9.461056102974144,0.46588688659114696,5.07064440256801,0.22831416957095713,0.1024286998210939,86.2076341919304,291.92236363162874,0.32040460112166647,72.13103670319117,0.45176643393994886,112.28352840365805,1.0,0.6838236890241767,0.22192872131861202,14.997918201912537,86.2076341919304,291.92236363162874
