epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,train_gradient_norm,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,150584,0,5.9999999999999995e-05,1.1521010477464706,0.5158209330378983,0.06180800876943281,0.5713875490163494,0.01037969887544806,3.074167474857491,0.5531378774361775,6.36281508424946,3.091040809762342,0.317198576468962,2.9516689293380733,0.001272269968726292,2.9055688912499833,168.72639946015033,482.93371056993254,0.1470136583876998,30.03743613465303,0.3117631910266682,81.10096304166785,1.0,0.49913958368704897,0.026587384415760123,6.36281508424946,168.72639946015033,482.93371056993254
1,training,150584,0,0.00011999999999999999,0.8350806388671244,0.4822274793922593,0.049530034895602135,0.3004456237020518,0.03567862560927854,2.8418243288684493,0.7718926419896303,5.493425627949719,2.989381291489433,0.3078207294538206,2.193394719851676,0.010574211300385583,2.818202926594919,158.83875309500007,475.9070342790611,0.1747119529968334,38.688280335322595,0.3454179542939987,92.026745539802,1.0,0.49692297533036806,0.06043370075367127,5.493425627949719,158.83875309500007,475.9070342790611
2,training,150584,0,0.00017999999999999998,0.8119146156853453,0.46553832362401776,0.04603305914066917,0.29778716342114125,0.036644507852863675,2.519425670425863,1.987130152563015,4.8098613812409186,2.753478508646237,0.278161959940732,1.7755297376479302,0.027871580901155452,2.663204185037874,135.61063147986533,459.03343152407973,0.20238163366525505,59.018649266261065,0.4186887184769753,118.30603265327534,1.0,0.4627848529091622,0.08877773104624165,4.8098613812409186,135.61063147986533,459.03343152407973
3,training,150584,0,0.00023999999999999998,0.789246534027072,0.44545459333108234,0.04390441887542128,0.2976705026029694,0.036819653767674286,2.1801992865483326,2.9975645128794595,4.294629848413054,2.4975657658494774,0.20701929457341559,1.5875477698657487,0.04686794573995656,2.4502015477311794,108.03119654446428,439.48196180092316,0.41146846743733545,126.40131895736165,0.6422732822097592,188.75578851078745,1.0,0.4200685103852584,0.11501252217505349,4.294629848413054,108.03119654446428,439.48196180092316
4,training,150584,0,0.0003,0.7878173020980268,0.4460383412702203,0.04263934856115465,0.2974167095094979,0.03673924501579362,1.686164244223666,4.310190083297266,4.202765055656556,2.4977791478941183,0.18951035169310015,1.5132667921902223,0.06261483700923588,2.146090593356569,115.63432406495006,437.8721451177362,0.6147466712448972,187.19094671309279,0.7807647552554271,265.26966463269235,1.0,0.3937168250139046,0.13488654618390397,4.202765055656556,115.63432406495006,437.8721451177362
5,training,150584,0,0.0003,0.7702848321357687,0.43138398910408093,0.04141203275033466,0.2963550467045757,0.03687197631376529,1.0968889307645415,5.033582877250334,4.227835791899047,2.554234046253851,0.1913215904678355,1.480452469108449,0.07460212717987183,1.7530357830445582,122.18140068518466,442.08315845867867,0.6331215901720652,209.57646028712898,0.7941274655678914,302.4966200900266,1.0,0.3923173958049709,0.15229180531906558,4.227835791899047,122.18140068518466,442.08315845867867
6,training,150584,0,0.00029994361559320526,0.748080452262471,0.41165387197676484,0.040567355438350196,0.2953121842078351,0.036931485811946475,0.5101118653605575,5.517647711022461,4.173752288922158,2.5151159272850996,0.19214746109476977,1.4651159844218942,0.08285605989816984,1.290097590781901,118.27197595355958,439.40829161434976,0.5853744611041166,198.20387157049998,0.7770020220518103,295.99854210481766,1.0,0.39111237076409355,0.16614865892143071,4.173752288922158,118.27197595355958,439.40829161434976
7,training,150584,0,0.0002997745051903474,0.707707004049848,0.3730022826357732,0.03988406006915282,0.29448672394663356,0.03717200443962823,0.296763184117358,3.3426757076011575,4.078507002683128,2.437202005799874,0.18362044918157833,1.4566869446051616,0.08862878717042917,0.9091298115585003,110.26008120733245,433.64194993055617,0.5750114455762848,193.8593873695681,0.7820523825874632,293.4391590124375,1.0,0.39406415777711074,0.17803525188545039,4.078507002683128,110.26008120733245,433.64194993055617
8,training,150584,0,0.00029949279721149045,0.6881223949809311,0.35482594960973973,0.0392000005108797,0.29376628230489016,0.03736911482070928,0.2927939076350337,4.025197864160514,4.025244246405507,2.3964428400453035,0.17650275810174937,1.451563374681192,0.09278253074409222,0.6424705529766905,106.13554361308528,430.49062134193815,0.5839771469993514,195.69163419282458,0.7920195719354469,295.617269839595,1.0,0.39920597528311597,0.18828569356982333,4.025244246405507,106.13554361308528,430.49062134193815
9,training,150584,0,0.0002990987055817155,0.6594991664572619,0.3284107639999194,0.037845673421155676,0.29291556490182996,0.03787972839834662,0.28928605486427067,3.0908819828450884,4.020932443836495,2.399108061911145,0.173156028661416,1.4481177457577477,0.09630662887432324,0.45423655041202576,106.13207262657794,430.60470465878467,0.617918049673801,202.2162291788872,0.7987915379039334,300.72847642986244,1.0,0.3981371215887842,0.1966067529720626,4.020932443836495,106.13207262657794,430.60470465878467
