epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,167036,0,0.0003,0.6072752596114168,0.3220217028033624,0.09110697894102172,0.19127237057622817,0.014236961531943187,2.8599697072717665,1.420759261486745,0.8602187564884127,0.35862466803101334,0.19951772698602782,0.026776011295158695,2.3713411112542255,58.48487778848068,270.088472522411,0.35959616191675253,55.78778981301982,0.5973970851932395,105.07900033323318,1.0,0.5736069448036711,0.17489564627502568,1.420759261486745,58.48487778848068,270.088472522411
1,training,167036,0,0.0003,0.4951160080565422,0.27060856385325804,0.08399457833027844,0.13886337055548567,0.018013683934807203,1.6314824857464008,1.4049476424207181,0.8524731380982872,0.3524889608959598,0.1991315717047066,0.027420691784892964,0.8265491001827296,59.18100454231406,270.237773673904,0.3714280264011293,56.66643838852247,0.602013467628095,104.95309202690426,1.0,0.5660520353255771,0.1813870209719703,1.4049476424207181,59.18100454231406,270.237773673904
2,training,167036,0,0.0003,0.4862937949206417,0.2650305371463825,0.08210157799975241,0.13875892338034762,0.01818312379043307,0.3845745199070782,1.404577247615099,0.8558953671852703,0.34895792583410196,0.19939936933698105,0.02763693494820528,0.29695216858906837,60.50020522492048,270.8431987362744,0.36983518370149937,55.98406304098231,0.6055663652664912,105.29521587578927,1.0,0.548505325145648,0.18037352345797955,1.404577247615099,60.50020522492048,270.8431987362744
3,training,167036,0,0.0003,0.48260630887372197,0.2624139705875288,0.0812564412412155,0.1386300335206512,0.018276793592152004,0.2875858285116079,1.3985025431541689,0.8459568310073192,0.35227234842066185,0.19996859707919795,0.027097642788410023,0.27767454459708957,59.30832433931603,270.0976870143954,0.37756571668383504,56.49905968927645,0.6063437106558315,105.06265406073547,1.0,0.5357336775130733,0.169956020035157,1.3985025431541689,59.30832433931603,270.0976870143954
4,training,167036,1,0.0003,0.4806938055587967,0.2610304413506122,0.0807591827072153,0.13861854122144682,0.018314797210259356,0.2673265423611177,1.4055994882543503,0.84902435896243,0.35631195753915124,0.19997997382241936,0.026488479276714192,0.2566938847559219,60.044732098068025,270.4983222937144,0.37967361031627944,58.76700323814429,0.6092814085689214,107.83231552652036,1.0,0.5342191639625468,0.17505420977681163,1.4055994882543503,60.044732098068025,270.4983222937144
5,training,167036,0,0.0003,0.4795297488737773,0.2602314685840082,0.08045290303161122,0.13858245910887187,0.018326227688601673,0.24459257240646426,1.389979348205737,0.8508656762299008,0.33834233831350324,0.2005094025636669,0.026921094781201627,0.23501412227495702,59.15553441862136,269.8526915551382,0.39826313379878675,60.22607908088446,0.6319484186028766,110.57668428063361,1.0,0.53012653869091,0.174444495441054,1.389979348205737,59.15553441862136,269.8526915551382
6,training,167036,0,0.0003,0.478721650217815,0.2597649884269075,0.08017045199589445,0.1385437361001696,0.01835952263552899,0.2241140862370324,1.3899201218768336,0.8527027332797754,0.33535599160572344,0.20161987876433646,0.02649409985439454,0.21502137825078899,59.953873302984675,270.3192462397796,0.3982822097592614,61.95036662356692,0.6399746289725687,113.60787995885553,1.0,0.5261757236367339,0.18145138654802712,1.3899201218768336,59.953873302984675,270.3192462397796
7,training,167036,1,0.0003,0.47822751202425023,0.25939775699296613,0.08005372745338937,0.13855423115655546,0.01836023778012712,0.20343782980879443,1.4028047715599727,0.8554005531447695,0.34663353340961,0.20054809910468982,0.027036870744378244,0.19555666507368327,60.00488008337089,270.24953365214185,0.3888682232650414,60.43191215937488,0.6245231009881348,111.4925365304643,1.0,0.5136308475386833,0.17446095142061818,1.4028047715599727,60.00488008337089,270.24953365214185
8,training,167036,2,0.0003,0.47773103396534916,0.25916553433896544,0.07980051904572888,0.13856060113630475,0.018364514010510244,0.18601771384949897,1.401872415901854,0.8590784032148069,0.3423919041983334,0.2001937254487315,0.02759470325037948,0.18077903049985727,60.03797291150274,270.26586799390554,0.40119606272175806,61.35925789893795,0.6340181603143719,112.43613770816641,1.0,0.49982481529291434,0.17895562431650403,1.401872415901854,60.03797291150274,270.26586799390554
9,training,167036,3,0.0003,0.4773799918754064,0.258924345129786,0.07970526939814557,0.1385624062446788,0.01836449613333621,0.16960722754769444,1.4111297075257525,0.8573364723502355,0.3528069523363006,0.2007995152425354,0.02630614601902828,0.16046954280208284,61.28382514289087,270.9651696052459,0.39409026744496584,62.56758385523969,0.6207079088932128,112.1158565419218,1.0,0.4996950161834096,0.17194693678262862,1.4111297075257525,61.28382514289087,270.9651696052459
