epoch,stage,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
-1,warm_start,,,,,,,21.636523235764507,16.29275540675283,0.32986763595282875,5.01172753485704,0.17965115566427864,1.9934302771870545,71.19374461066859,277.4480917495824,0.42961447483880816,92.81590572958396,0.6678446072259738,146.3616824646916,1.0,0.6756259248301345,0.20875345685551258
0,adapter_training,0.8971274479847436,0.5568023215636253,0.08019553884201638,0.25815265764979695,0.02042800660664461,1.9565029828923883,21.623944013618395,16.281626202664945,0.3284171113693852,5.01172753485704,0.17965115566427864,1.9934302771870545,71.27315821601617,277.35331701199465,0.42729197665102436,93.16031738970518,0.6724514516805922,147.45930924382296,1.0,0.6756259248301345,0.20875345685551258
1,adapter_training,0.8969855936398528,0.556751450746894,0.08010455410616064,0.25815265699147366,0.020428006565757797,1.95650298008886,21.625642180265437,16.283599626604214,0.3281416077705315,5.01172753485704,0.17965115566427864,1.9934302771870545,71.28705230546394,277.37011902730444,0.42528900080119036,92.77653576012338,0.6732001831292206,147.66426823721434,1.0,0.6756259248301345,0.20875345685551258
2,adapter_training,0.8969582321185732,0.5567362779211866,0.08009236737656025,0.2581526582337032,0.020428006633091845,1.9565029848612783,21.64120908921843,16.29920174228022,0.32810698924770587,5.01172753485704,0.17965115566427864,1.9934302771870545,71.54795554883923,277.5029716868344,0.42571820991186904,92.81146624687631,0.6734720155659838,147.74729516293255,1.0,0.6756259248301345,0.20875345685551258
3,adapter_training,0.8969598303962131,0.5567430876251487,0.08008715076876927,0.2581526586121114,0.020428006675529013,1.9565029751646892,21.63369071783443,16.291823949535637,0.32796629987374804,5.01172753485704,0.17965115566427864,1.9934302771870545,71.43397621928175,277.4401643762725,0.4247548739079013,92.54374941132778,0.6737581549731029,147.72204008157357,1.0,0.6756259248301345,0.20875345685551258
4,adapter_training,0.8969364893737407,0.5567234356698724,0.0800834659527075,0.25815265729959913,0.020428006597494476,1.956502983643368,21.627701480625095,16.286248473252915,0.3275524846978355,5.01172753485704,0.17965115566427864,1.9934302771870545,71.26719843141954,277.39267744530355,0.426748311777498,92.91633274421402,0.6762094158940902,148.28249194934855,1.0,0.6756259248301345,0.20875345685551258
5,adapter_training,0.8969516940338907,0.5567407580172044,0.08008134877513637,0.25815265785310626,0.020428006614365987,1.9565029865363912,21.628750815798274,16.287101308240953,0.32774920747514663,5.01172753485704,0.17965115566427864,1.9934302771870545,71.35983616693314,277.39994292067087,0.42576113082293693,92.81850674797198,0.6753033077715463,148.08414195659145,1.0,0.6756259248301345,0.20875345685551258
6,adapter_training,0.896932208277158,0.5567247185846316,0.08007790338970115,0.2581526588095841,0.020428006678447328,1.9565029690012072,21.63213542040663,16.290581967484233,0.3276526038790235,5.01172753485704,0.17965115566427864,1.9934302771870545,71.40607388268523,277.4295866357139,0.4267769257182099,92.97294808984061,0.6756419060699707,148.19180451656152,1.0,0.6756259248301345,0.20875345685551258
7,adapter_training,0.8969229376551676,0.5567184108863518,0.08007493826375682,0.2581526587675117,0.02042800658703718,1.9565029784546035,21.632431098071418,16.290613474228625,0.3279169639343321,5.01172753485704,0.17965115566427864,1.9934302771870545,71.4134694127406,277.42985741536955,0.4262666437755141,92.94687751117137,0.6751220861470375,148.0993433920277,1.0,0.6756259248301345,0.20875345685551258
8,adapter_training,0.8969283329801021,0.5567252394387396,0.08007350290994593,0.258152658212059,0.020428006704073784,1.9565029795129791,21.623035413167344,16.28140649089991,0.32772827916861236,5.01172753485704,0.17965115566427864,1.9934302771870545,71.2361206366721,277.3514456948668,0.4264669413604975,92.8965833688027,0.6757658998130556,148.17438330251375,1.0,0.6756259248301345,0.20875345685551258
