epoch,stage,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
-1,warm_start,,,,,,,2.112104387721713,1.4618516664312895,0.15261769987522525,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.44607907790383,199.34360243160538,0.583996222959826,151.7067904718856,0.7288590668040136,207.78855318675843,1.0,0.29359149952418,0.3257737939311348
0,adapter_training,1.0338421910857722,0.6546249726972857,0.036734022506956274,0.3419892372146375,0.036330388790212366,0.4576267200328133,2.104724575828002,1.4555057713985136,0.1515837667913483,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.44331995631605,198.91046113825126,0.591407233604212,153.6186031076528,0.7380393727824196,210.3981354515399,1.0,0.29359149952418,0.3257737939311348
1,adapter_training,1.0308940896995036,0.6517391867632031,0.03667170698935136,0.3419892352715259,0.036330388670683035,0.4576267236228275,2.101162766112716,1.4522969017189673,0.15123081851536996,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.20528933910143,198.69107121130435,0.5950650490252184,154.15049718212296,0.7428512838121399,211.40046104211973,1.0,0.29359149952418,0.3257737939311348
2,adapter_training,1.0294649433471368,0.6503096331010813,0.03667211180291317,0.3419892360847631,0.03633038867575969,0.4576267133236064,2.1034461863495,1.453949607211593,0.1518615352366573,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.63464426724168,198.8040939566058,0.5887413681278852,153.5958795031189,0.7372858723436725,210.91692162134933,1.0,0.29359149952418,0.3257737939311348
3,adapter_training,1.0287462884417564,0.649588856540583,0.03667423500242795,0.34198923846951307,0.0363303887029669,0.4576267404921492,2.104995539073569,1.455589676967226,0.1517708177825495,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.90736495635778,198.9161939691788,0.5884313837701728,153.3355290807056,0.7374003281065201,210.67158878607742,1.0,0.29359149952418,0.3257737939311348
4,adapter_training,1.028158662683895,0.6489982614591454,0.03667720191055097,0.3419892363391429,0.03633038873385241,0.4576267202521733,2.1042386470751615,1.4548712858402157,0.1517323190950755,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.85089090137788,198.8670963419004,0.5888558238907329,153.5489737654873,0.738554423715234,211.07290459516042,1.0,0.29359149952418,0.3257737939311348
5,adapter_training,1.0277143313812245,0.6485534506655952,0.036677686529944145,0.3419892359531957,0.03633038868202191,0.4576267248640843,2.1066218341899106,1.4570158489293223,0.15197094384343357,0.4971625655049541,0.04203165999294023,0.4304447278177437,82.17780220270711,199.01361348537108,0.5864236389302201,153.18178674983784,0.7367279004997902,210.68820282991874,1.0,0.29359149952418,0.3257737939311348
6,adapter_training,1.0273863128740055,0.6482249854910052,0.03667813000875195,0.3419892367603531,0.03633038904267704,0.4576267263942543,2.106041084719602,1.4565708179773436,0.15183523510756175,0.4971625655049541,0.04203165999294023,0.4304447278177437,82.09058588682949,198.98321779278044,0.5871199114875434,153.2475166601689,0.7380250658120636,210.88491625802382,1.0,0.29359149952418,0.3257737939311348
7,adapter_training,1.0270984378421222,0.6479383622855543,0.03667687439398134,0.3419892400299606,0.036330388758293294,0.45762671867920135,2.105882271691087,1.4561513544657116,0.15209591391687058,0.4971625655049541,0.04203165999294023,0.4304447278177437,82.19645281024665,198.95456744042616,0.5851789325092518,153.3023172746533,0.7355833428713136,210.97847195893422,1.0,0.29359149952418,0.3257737939311348
8,adapter_training,1.026812831445335,0.6476520539590304,0.036677579766418236,0.3419892378936322,0.0363303887787519,0.457626730717252,2.104060259576355,1.454868873280905,0.15155634899884105,0.4971625655049541,0.04203165999294023,0.4304447278177437,81.8826975598866,198.86693018343198,0.5893088779520049,153.5794193337244,0.7407147762389836,211.47045632976136,1.0,0.29359149952418,0.3257737939311348
