epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
0,1.3930519721729546,0.9510245562988849,0.04729155726323354,0.3918091298378269,0.027220895235162662,2.89950865109554,2.1884169881743207,1.5080155662282375,0.20515643210975668,0.4727344393109353,0.03997233376155098,2.470644382176853,85.00198155265204,202.46667848821082,0.4226755942161688,113.38288567419214,0.5878304910152227,161.1134733136255,1.0,0.33349972026659475,0.17871378326013995
1,1.21003847286941,0.8239000825238431,0.04294354316320959,0.34105311431313046,0.03336027523893428,2.1083756981076855,2.4432360849258923,1.7525076563278728,0.21249794541998096,0.4764609945729278,0.041701277521599536,1.7277770744003693,101.7174460258366,218.26324994526811,0.4404639273587425,120.27952321574196,0.604622105222998,176.32067693653786,1.0,0.3187758722007309,0.24360454839714124
2,1.2845449837985692,0.8934641761139157,0.04573638961522861,0.3437928825365375,0.03305012372551149,1.518493965928404,2.956618835227951,2.13726933387221,0.30313446083831697,0.5147953276987532,0.04828596069532182,1.3714478107725059,128.8422366653075,241.03509629780112,0.1825378657815421,69.92108206224843,0.3888443783144481,107.48731519418135,1.0,0.22578999411395312,0.26275456164018474
3,1.2473225955360172,0.8577828067945893,0.043711244067496643,0.3446373108747612,0.03505572321098388,1.1561748629176805,2.2604633895182507,1.5954787268214754,0.1824389357557692,0.48168645820862793,0.03847226778767373,0.8207843998442583,90.08372450229626,208.25534665057185,0.4729836709778337,133.25076288938806,0.712921101827477,196.2844363560385,1.0,0.3025884825136082,0.30749203755925675
4,1.1924035527140266,0.8056387838504007,0.039907215832105075,0.3458666950218624,0.03572889200053164,0.955134965981689,2.4665417166180967,1.7649991246620618,0.19607011640129515,0.504645399331852,0.04619103727511114,0.7808743359309334,98.34868107058165,219.03973103574512,0.446921139979398,109.57238026705153,0.5859562778985922,153.8288811829957,1.0,0.29543672794424486,0.3167138697614014
5,1.2131161288621268,0.8302192735415769,0.039766350693843495,0.3424129754556834,0.03477244048148465,0.6827529015436095,2.3698592676892085,1.696559705643485,0.19080308405687774,0.4819051024074534,0.03978522828995117,0.5515747759889872,95.84428045700636,214.75101767454177,0.45897237800923274,112.1207954459423,0.5994048300331922,150.93025407838073,1.0,0.30234000861660665,0.31901342694857565
6,1.108334452530571,0.7259532242282344,0.038485663389622345,0.3433040830339859,0.03570728411837614,0.5557776250035996,2.112104535515581,1.4618518123145445,0.1526176888507196,0.4971625649591865,0.04203165993836347,0.4304447278177437,81.44609336624532,199.34360812539046,0.5840057609400633,151.706813217733,0.7288590668040136,207.78858180069912,1.0,0.2935915001609089,0.32577379293155667
7,1.0553830353509388,0.6590694085228269,0.037395047594027855,0.3584024571234342,0.034802953346956,0.4813221784299524,2.3740764478599097,1.6973686459559223,0.1795545317726358,0.4967328451387947,0.03989943157366856,0.3805113685264786,98.16589897103077,214.80220685915558,0.4922503910571897,127.07850186199258,0.6392115905535843,172.3835042271136,1.0,0.3091448831938446,0.3345615741679475
8,0.9868131482106803,0.6065235052483885,0.036107050633622795,0.34372167616813626,0.035825521537032945,0.4250958944201448,2.440782741145369,1.7745247392050596,0.17681352007071158,0.4890652182964482,0.04096764554401257,0.338308183974555,98.02457766121572,219.63001194242773,0.4862557704780436,134.29765305328633,0.6314238296898249,184.43009163465481,1.0,0.33776195439464246,0.351197726380973
9,0.9815989599394755,0.6007257467663668,0.035873617004496934,0.3446305017992097,0.035126831908721776,0.3339651594359771,2.3973750988211444,1.7171634825314703,0.1786867532172601,0.5012051611823226,0.042585968033640745,0.2771035216418696,96.34441133411605,216.05109905551075,0.502456029911106,126.08222286653266,0.647738544885735,167.64095875479285,1.0,0.3853050007040955,0.36922483587792404
10,0.9347192934774098,0.5565370856001582,0.03511278990247513,0.3427387921754663,0.035635851504175343,0.29498694417998955,2.4645978558577895,1.7722048780319004,0.19366066493592834,0.49840334418440924,0.042230260500545166,0.2867910577146524,96.93730853249828,219.48639790679755,0.47496757086719316,107.5211386232164,0.6272938842470719,150.42914472931213,1.0,0.39465747613271224,0.37307539007767315
11,0.9100302955265477,0.5332627501807171,0.034614983590354496,0.34181876625692603,0.034929920849488746,0.29886425307433884,2.255882855274932,1.6148895502066576,0.15262334072710626,0.4880432726479994,0.04088721664478949,0.2858047533140339,85.82235673879168,209.51835350532332,0.5520726031055664,147.0552180501507,0.7397895921559651,200.2602530306932,1.0,0.40105486642008614,0.37769545502885193
12,0.9100748825688617,0.5332690400911354,0.03435208805789056,0.3421234326168114,0.03477408008249984,0.29555083681296485,2.399420688311473,1.728887296135613,0.18696004786795456,0.48324677013172035,0.03954887978052082,0.2869677249266734,96.61888535362658,216.78737482684232,0.4177969173247873,113.21077934091365,0.625782114379459,157.60891102942227,1.0,0.41812518831747664,0.382510636533132
13,0.896904790513133,0.519585486187098,0.03429641220149247,0.3426905575823963,0.0345577948398996,0.29777415327671497,2.281655141710894,1.62833395597718,0.16516729803789776,0.48782887855386714,0.039865512499785934,0.28515380479739055,89.13737422533717,210.3886925519906,0.5029138529624967,134.41406287257735,0.7020621113273053,182.59488718059688,1.0,0.41449458035767445,0.38395007111456997
14,0.8935455365065638,0.5167935612698369,0.034254277939545316,0.34217119063439877,0.034632951786674644,0.2918768771623963,2.466544484401767,1.7740754047642144,0.20717420124342134,0.4849842867170276,0.039829924372838686,0.27077667172104924,100.25510518529315,219.60219843475093,0.3955686543817481,109.39870214169385,0.5663032696196253,148.6319535974281,1.0,0.42098741628518704,0.38799413959359885
15,0.9150088860719626,0.535029418173959,0.03510355760708451,0.3445571016072118,0.0354762314869034,0.2833346308869134,2.2702794563354827,1.5980091453753211,0.1681539089372792,0.5038044894717679,0.04604658968188103,0.2658880412223834,88.1597328717249,208.4204286689699,0.5086604860554729,141.46392603609291,0.6525456869253367,183.77747815728011,1.0,0.41933769910685104,0.3923728131536322
16,0.8708603491892754,0.49126109762840064,0.035049091115448724,0.3442272681466822,0.034514410688217305,0.28837663846063166,2.3363889183832467,1.634223375559839,0.188052505354945,0.513793343293308,0.04016775717107965,0.2795608357248255,94.49671253578232,210.76881488536873,0.4715625119224753,130.79067173610315,0.6013410400213651,171.91162204382226,1.0,0.4097995886857796,0.3862097049378877
17,0.859740061682555,0.48165155805597154,0.034761912187372096,0.34300161749812763,0.03498780954911712,0.28998826879488704,2.5431966127735453,1.8176406630281523,0.23100504976184225,0.4942377978274734,0.04143932808833993,0.27162741670568136,103.61809863791682,222.28219109322328,0.36197111899584145,92.63064631664068,0.48219259089695166,125.6370926127449,1.0,0.39882452658679857,0.3879919821163518
18,0.8873590863350429,0.5093336291525469,0.03440827870419833,0.34329527351031436,0.03363769357714568,0.2882687324916155,2.2287382922177184,1.5557423847991514,0.17894636840907363,0.4937219814884215,0.039957811802248736,0.287641665483075,87.88744110297203,205.64563296161086,0.442214146732288,129.69226209743763,0.5826799816870779,175.87389212261192,1.0,0.4011256265365556,0.39014274204156874
19,0.8725923663197507,0.49294985787130713,0.03527842891435176,0.3440338971161604,0.034679168534695846,0.295499456072189,2.2953766246412717,1.6021669355192418,0.18743373947622055,0.5054781785409839,0.04179730279315926,0.25597488330637713,91.32645741828335,208.69139170709718,0.44946301171263975,129.7605790917637,0.5927091679066041,177.4003925251445,1.0,0.41267020273661603,0.39448600585744714
20,0.8152437655943222,0.4342576991956686,0.034728557845341124,0.3459407856147924,0.03443344861347792,0.28228752159327963,2.439982734882369,1.7345736856262457,0.2094678715787273,0.4956247487505268,0.044293629160754,0.2720955450228918,98.63619436600449,217.1435986890759,0.364818206096677,111.91268988777374,0.5062044561443668,153.63397885340362,1.0,0.4287521093714256,0.40069983874437387
21,0.7950607926582941,0.4176102050974528,0.03388291515708223,0.34324474419727324,0.03537460728316598,0.2875543395109455,2.4565078599666914,1.7350515994227653,0.2084110923963348,0.5127008338262168,0.04088215475299272,0.30340934650800017,96.20179909034493,217.17350791450738,0.4066136354965473,103.23800835571778,0.5579289229712716,147.54247895981172,1.0,0.4194105217518762,0.3946158689996442
22,0.7952738602515146,0.41968798002656554,0.033050671377657964,0.3422124639659079,0.03469068517687544,0.2880557267219322,2.3386282103328693,1.649916255321105,0.1749342677785819,0.5134523883312719,0.04023440589850515,0.2851029838865677,89.37222373053955,211.77837134680314,0.5174068139330815,152.2603239321635,0.6855709434970051,214.86213460593834,1.0,0.4036263990582325,0.39355508119423893
23,0.8152272452924522,0.43711690931763003,0.03398853810361659,0.3438019904420209,0.034932701280789395,0.28487146461431967,2.3590346206475465,1.662923875818799,0.20009347711163936,0.4956955905136881,0.03824587740431296,0.2833768519060937,93.65884630528451,212.61154318866406,0.4146732287970699,128.44592490539515,0.6306655602609591,193.68168786780836,1.0,0.4220324842265186,0.3980085109777723
24,0.750425589824321,0.375623413918992,0.033013596229836795,0.341462873905528,0.0347555909868377,0.29095355021921093,2.4870737750896317,1.7951718787339168,0.2017218263258483,0.48987257214474356,0.03691747975910373,0.27057555080469814,98.86557055154563,220.90405314397918,0.39914062798061883,128.28459410528976,0.5889607416733432,186.05536987542206,1.0,0.4235501262625063,0.40083391887084996
25,0.7375954504106292,0.36286240429731387,0.03261352299648897,0.3418103260360868,0.03506927463663114,0.2741274984259406,2.3186701476024765,1.6304621551323568,0.1900867784856945,0.49780721280711443,0.03949589311332107,0.2745006639931231,93.71968297094969,210.52613249471761,0.4559154553431765,130.45917759361527,0.6440711914844912,192.00764200860326,1.0,0.41786473433485943,0.39928718155317755
26,0.6576721619886924,0.28539995303000226,0.03169701112030841,0.34026270092667915,0.03551018234976037,0.27698748914806315,2.3667904984641295,1.6697935974533462,0.18907926643762515,0.5076028974474165,0.0433281754924133,0.27143884052042694,94.61260578588784,213.0502450248298,0.4473503490900767,116.71386659137623,0.6455781923619854,172.45293932607612,1.0,0.413196991675276,0.40148716836281517
