epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,0,2554,1.9917557750162709,1.0338682898188254,0.06331825600579649,0.8917234656207713,0.0005423751918229981,2.845222386888162,8.795461821606574,5.602764242697843,0.3136250973174184,2.8762646780736363,0.0020486731097124336,2.8057320199269813,160.70225281504545,479.2394133991844,0.22872553508069132,72.99888124335322,0.45891991911792757,164.12248025936154
1,1,2553,1.7152018227672465,0.9785412910040154,0.05704260038491375,0.6766786504809734,0.0034949050468778987,2.935803734457731,8.204539657498684,5.517761623150249,0.30349330590858575,2.380316875377836,0.009434701205380803,2.9585960569815053,158.9367828258532,475.59011578082186,0.2248960360154134,74.9912829194446,0.4671368890923658,171.8161830389078
2,2,2553,1.5200703532099022,0.9577508088401192,0.05468021251211622,0.5045206526471642,0.011696326567164319,3.1069852833275324,7.591601989304595,5.3728079219847915,0.2765744558889519,1.9390967081538515,0.0277137629783935,3.0951337514431754,153.19974207215006,469.3015834985795,0.2500286139407119,79.06201244527584,0.5169919117927587,186.07852641484016
3,3,2553,1.3800184643133173,0.9461159668643943,0.053038495830984335,0.3776620638823444,0.025691501249052524,3.1762454115639374,7.256902068744225,5.305053615985875,0.26018627837881886,1.688516366716461,0.05361470449202064,3.092291142420132,150.8787673531628,466.3330992309128,0.2651129296860097,86.39939025480714,0.5502365419098851,200.1288819579566
4,4,2553,1.3233655212301858,0.945157971824098,0.05177286716708472,0.32323678840014497,0.035598860960927986,3.1622674416617884,7.0471717101001925,5.244535359047132,0.23901819991227335,1.5604846940890826,0.07466753906188445,3.0587278181673994,146.65995390323957,463.6655787690901,0.2912708404868185,90.86696589099043,0.5981791995726985,211.29710495474228
5,5,2553,1.2997832198587531,0.944313514964561,0.05045279083336469,0.3018460435011412,0.03882028970792977,3.1320438224383067,6.907057955299974,5.165874982667799,0.22421483858043464,1.5138486972458374,0.09037796205364418,3.029061704829695,141.45820054676471,460.17529367251456,0.3133703406966541,94.39843217214386,0.6341040021365075,216.81064911022568
6,6,2553,1.2881762192289454,0.93592129274765,0.04940872650069673,0.29967913164655413,0.04003094821800637,3.127038266207721,6.799285195202498,5.088620575073042,0.21421501768333587,1.493322746778525,0.0956444691884118,3.0312243133930017,134.1444578895192,456.7214335241068,0.34277116477814656,96.20962757391338,0.6503281065201633,215.5439910277412
7,7,2553,1.285714933674241,0.9323230273948666,0.04932318850067658,0.3008941159008346,0.03947823358677062,3.135124664235666,6.705135179879915,5.0148577775076655,0.20536177698426872,1.4817811655833817,0.09625023526307018,3.0381494281738672,128.21413389699816,453.3991200892826,0.3687955438556331,96.78756930311343,0.669446987905841,215.7276971470709
8,8,2553,1.2801258044526758,0.9284442811212118,0.049179578081059355,0.29933210845512825,0.03789505882927753,3.1319686342023467,6.6548945480364745,4.9704961782736845,0.20148354754554568,1.4797912800838708,0.09645554931706213,3.027030232133589,125.84007957283559,451.3892630244216,0.37996928770363586,98.99078826712187,0.6818702071649307,221.06958075807867
9,9,2553,1.2731247104199503,0.9243244171329353,0.048347078821166935,0.2972952579219249,0.03760055148783638,3.1203736091565957,6.643576287576532,4.9557097468077895,0.20320046169490827,1.481546501543885,0.09999138532813796,3.0195572795946513,125.37892152567147,450.7173655145858,0.38433768265232154,103.55285505280465,0.6895816641867918,228.8992813131891
