epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,0,2554,1.5949487240872724,0.8476708152841196,0.1527402070274368,0.5915530698553323,0.005909233340175244,2.978687962611952,23.133901619312216,16.830781870607627,0.3872648873440499,5.912823158609345,0.06541186629759255,2.9660346511573614,77.91996595090086,281.99189418150905,0.3944002518026783,74.48377457296674,0.6954713669833276,162.8443521222602
1,1,2553,1.010079981437441,0.6318880503101999,0.10772953259795495,0.26747946238639164,0.032215381965560626,2.9507071849555535,21.653105304912337,16.119023162374866,0.3468708247568851,5.184204955420185,0.16812139813654672,2.837821352846142,68.55318677705091,275.96490242886426,0.3730828659723017,65.20067912282177,0.6861241463507688,145.7624797019858
2,2,2553,0.920758659214867,0.594290193154258,0.09355176307328113,0.23008082918545522,0.04155948523197088,2.794309110488324,21.483768617160617,15.911937634256498,0.33720896622624186,5.231717958373535,0.17078279135319166,2.7327598009036365,66.74319485601822,274.1864679929988,0.34242302849948497,57.78693585641226,0.645363587806646,130.85227456983708
3,3,2553,0.9035450282677734,0.5844577213992244,0.0896105674367954,0.22680932011410063,0.03959134143448511,2.6278323801274492,21.366273586753714,15.888701117022013,0.3309652724043106,5.143880552865622,0.18262040762972018,2.5439118937304297,65.08762769716198,273.98617835764287,0.3622858723436725,61.219346636058695,0.6560318187020716,137.0636809956936
4,4,2553,0.9005099872584629,0.5841468160777199,0.08835611475760732,0.22551024194749905,0.03983310566134561,2.4569762474968533,21.368524959090237,15.854285329962345,0.32647371592115887,5.185161119380034,0.19068758865790453,2.414413970491222,65.16200166288723,273.68928779288245,0.36199973293655335,63.55238354684996,0.6503376445004005,138.01529471017656
5,5,2553,0.8980159060048254,0.5806559468431656,0.08746405919124414,0.2275471801950191,0.04052445368642112,2.308215733373861,21.40853990966605,15.861917830743574,0.32793450301208854,5.2162334623920215,0.18368277681060455,2.27066491025938,65.60581345856701,273.7551686866769,0.3589237343100225,64.46466120572589,0.6434416847888291,136.3377383153781
6,6,2553,0.9002833979950668,0.5806436573132971,0.08725008604295853,0.23020927110140435,0.039424084722295354,2.140949323604119,21.36779374125703,15.868868756172477,0.328799176785941,5.167867061130628,0.19231915048708273,2.0662088235346667,65.19467692029349,273.8151354696669,0.36224295143260465,66.87622382346034,0.6464461485635802,137.9962729597068
7,7,2553,0.9005656050459058,0.5792337505667059,0.08733086937311066,0.2320245628935003,0.037983505145048,1.9384427734136676,21.415817290425124,15.89750630135727,0.32342847434449307,5.1928030409492765,0.2092789651588743,1.869761206362304,64.6531601601248,274.0620995771891,0.37894872381824424,69.61461846737772,0.6660705429018351,147.41512386110554
8,8,2553,0.8986260878820304,0.5788143596787384,0.0866959423550521,0.23132520405115262,0.038931873232663214,1.751653762130797,21.503518723900537,15.969514615742513,0.3255276170672112,5.206533514868855,0.21042884872194229,1.7326448985255118,65.5186884334553,274.6820837196146,0.3794828507115333,72.99114679830868,0.6624699553622525,149.41207491159486
9,9,2553,0.8947510672138571,0.5740303018958812,0.08674936764937403,0.23230275690929122,0.037829397996990435,1.6307867842471417,21.518200397498276,16.00603050661057,0.32632813178351616,5.184061735135079,0.2055241965282744,1.5735612726599042,65.89656557357688,274.9959458990359,0.3797976040593644,73.32711697334254,0.6620073633207432,149.3895766418441
10,10,2553,0.9026460614196936,0.5830210401318001,0.08748539839533792,0.23062186738088744,0.03913520946164856,1.478619843056003,21.396880784562214,15.883408027849141,0.32253081051858107,5.189347484673381,0.17274468037192897,1.420895728241378,64.63169263493559,273.9405436136804,0.3821964060890466,68.52409303122377,0.6529128991644729,140.45370635107278
11,11,2553,0.8972036273769897,0.5802914419456225,0.08728176221117243,0.22823955125076556,0.04230422680833458,1.3485566863722303,21.422358956618183,15.90577481048862,0.32075749189122066,5.194330009171854,0.1826891706148059,1.314266720720815,64.84930017305473,274.1333612039011,0.38956449582236463,68.95840350827777,0.6571954522910228,142.80781918031195
