epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
10,10,2553,0.937326287270713,0.5831443920842442,0.08917772687630143,0.26194594065044796,0.02133274121414994,3.03690441262708,21.31015665307462,15.846415016873076,0.33063604459430884,5.129899460698693,0.17247633962467002,3.033952240978292,65.0426652671171,273.6213558534579,0.35088321696997443,60.355187239866495,0.6378190454389379,129.5180069242756
11,11,2553,0.9360397806412278,0.5823579390890403,0.08904493615013732,0.26161530202993727,0.021823588440605484,2.9997901478515994,21.33027052660003,15.85261203670469,0.3310085388016234,5.143480703537829,0.17201218111699565,2.9979363624899777,65.1428999200598,273.67485027693266,0.3501297165312273,60.82567033931067,0.6397552554271108,131.06668788122116
12,12,2553,0.9382901322921023,0.5843398210304744,0.08904877518363154,0.2619156545977288,0.021908283009658223,2.9639933973118877,21.30789242092513,15.820427332338232,0.32748550561216094,5.156847765779872,0.1674887677410521,2.9645209345730787,64.49966449409361,273.39689888102276,0.35683968562817137,61.742859704060315,0.6407424363816718,131.45657501040236
13,13,2553,0.9395770518115769,0.5842404109540753,0.08924337144382224,0.26314170348658267,0.02147359047938668,2.930100717966668,21.300590709482858,15.801201838442706,0.3246154162452466,5.171675915255182,0.16852877028079663,2.9291768510103964,64.08399887291625,273.2307148072887,0.3646465224524055,62.95457335720213,0.6459930945023082,133.5826230146098
14,14,2553,0.9378021156559073,0.5836566251910905,0.08903435708738242,0.26220761988380586,0.021110464104141528,2.8823953625551635,21.329181155835627,15.829505149544111,0.3247229185620939,5.171910207223583,0.16741092638201613,2.875324878701359,64.53494905507677,273.47533100817117,0.3662202891915608,64.73994313128314,0.6424115829232002,134.4928439440383
15,15,2553,0.9325352234089557,0.5809210405728418,0.08874686561959703,0.26001328447030375,0.021038670691815115,2.83298489051009,21.267436289710204,15.777910838668333,0.319032759964125,5.167482153784462,0.17285700599986262,2.838014444770564,63.408957747828026,273.0292875374794,0.3782667582312769,65.00229978959811,0.6489450993857541,134.84870229817633
16,16,2553,0.930498817249041,0.5809476302620761,0.08869818880529531,0.25803398919068177,0.021828553906017737,2.7971775980029348,21.29671962769685,15.787344841695226,0.31965643792911297,5.1867355132232245,0.17547436471140768,2.807358082036371,63.473034541758174,273.11089575733473,0.373545458013811,64.68275455677006,0.6442476441188814,133.86071571960485
17,17,2553,0.9269703819478113,0.5778056660961087,0.08852297037291237,0.2578515419236735,0.02242363477107524,2.7677594508743733,21.343060576129155,15.829683225857314,0.32194597275258885,5.188473944488606,0.17934376101930638,2.7784450286938585,63.96890137352131,273.4768560990858,0.3660104536263401,65.38370737491535,0.6428455610239976,135.59976738505543
18,18,2553,0.9276599942400462,0.578556211495278,0.08809680048970209,0.25825055528401486,0.02255169382480094,2.7338614543185624,21.30834066915583,15.805857505034913,0.31967773590366094,5.179878288174117,0.17916914630920902,2.747452343111932,63.545207856061744,273.27097933748837,0.37521460455533934,67.28052743279599,0.6497319827553317,138.0743131424724
19,19,2553,0.9257055495213025,0.5774288976187805,0.08810322988841097,0.25745852478942916,0.022615382923531942,2.6922785213214953,21.329532984785306,15.842781158224476,0.3203066112229504,5.163561230169133,0.18492366496326024,2.6991907364582324,64.0604528085328,273.58997429835506,0.3724104383655717,69.31792719458493,0.654119453664492,141.31980298184087
20,20,2553,0.9258156794218563,0.5786635568690123,0.08808308109331729,0.2564090403432338,0.022149130511595557,2.6378282493952905,21.26620127241583,15.789885404601282,0.31513985406227485,5.158346578161586,0.18338796896208706,2.64556731647794,63.246114120666775,273.13286961327924,0.38737552935790315,70.96794071541707,0.6625701041547442,142.23539291858617
21,21,2553,0.9229731741859266,0.5774492114910741,0.08770760518228406,0.2552101625282065,0.022951076267585538,2.583235015226634,21.291719391266636,15.810188926502258,0.3165092748359888,5.162236255193546,0.18887602110359555,2.5959447551212964,63.500271194398046,273.3083938242227,0.3861403609171722,72.50281668478883,0.662751325779253,143.00885254968097
22,22,2553,0.9221507528460451,0.5764322183760671,0.08781320187294199,0.2553511486770684,0.023904615333920312,2.530276119965831,21.26446893153917,15.792028904562379,0.3165197839212797,5.153190206661283,0.1874768285710129,2.5438942673469116,63.24312441561242,273.15140101717293,0.3841469230475755,71.29855528660438,0.6620169013009805,141.81245748892403
23,23,2553,0.9227221263795099,0.5769651965024749,0.08745062304241163,0.2558051493767426,0.02492082032604494,2.4762546849913845,21.22532194085855,15.770451556232445,0.31360048245558875,5.138575230213772,0.191864410974064,2.5035207197624416,62.820362453308604,272.9647270580987,0.39539697073747665,73.40553677517312,0.6704246308801648,145.52462188614751
24,0,2554,0.9222346823385383,0.5767711943822068,0.08745094505995629,0.25554927404074346,0.025060942139806183,2.438230310460974,21.268430010210846,15.799536872488439,0.3163230902069464,5.149920381935644,0.19227372508289678,2.457313776207254,63.45566112472757,273.2163215838344,0.3907090534508412,75.17225631429194,0.6734100186944413,149.461271087133
25,1,2553,0.9197840275738317,0.5756751463791925,0.08728456730953255,0.254406893738942,0.025058798443801815,2.3923613795382437,21.24504421451476,15.779720128282667,0.3140628965586659,5.1486497528896225,0.1974767478632957,2.4145713674676927,63.07532049849061,273.0449314884675,0.3957403380260196,74.84955559345909,0.6739059936667812,150.22417059065134
26,2,2553,0.9185242085096372,0.5751317903848895,0.08718752357605342,0.2538396560802583,0.025505661753564782,2.339724495324069,21.249037939623207,15.787113745420868,0.31515747767175867,5.144212286476345,0.1965343630397785,2.357661504964882,63.32142614767983,273.1088890446347,0.39502498950822174,75.02833653824372,0.6771584449277022,151.0541073784325
27,3,2553,0.9194417640689397,0.5745694236665719,0.08703572817272268,0.255521698747249,0.025461540734369847,2.2894437269187655,21.259822008763134,15.794519066199177,0.3153281415040602,5.14746096946919,0.1973859452948109,2.315186778099433,63.59374652105897,273.1729448494417,0.39925508374346647,77.37222910496786,0.6788657433901797,154.3307794273516
28,4,2553,0.9234948147291115,0.5759257322029184,0.08702586419644003,0.2582744709940177,0.02508048719554684,2.2436754169344577,21.284817161358944,15.811245648225556,0.31835599634376394,5.152751685623188,0.19746372894894237,2.267278440868853,63.96387132776584,273.31755536686126,0.39362767540345656,77.82380818838584,0.6793712563427569,154.5888809542332
29,5,2553,0.9236159464260479,0.5741304976539522,0.08695280421459577,0.26030468914469596,0.02356116272453649,2.2043783319169195,21.257785936569586,15.77685703280484,0.3151750008003095,5.163316906834356,0.19516630580684383,2.24232842238091,63.46717568370925,273.02015754912964,0.40363778566250813,78.55957822976875,0.680754263477166,154.76917830747348
