epoch,train_origin_hour,train_samples,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,0,2554,1.99651627995208,1.0357880206806358,0.06139224068135513,0.8965136101214141,0.0005070709100302336,2.8218822725694817,3.7692778933589923,2.147854305229867,0.29462011072422667,1.3240388533173184,0.0011630563833001954,2.763487807561266,124.04301232292144,241.63122734871135,0.2586127961542864,65.89217752983004,0.48026591888901604,147.79208551812692
1,1,2553,1.7394505198030812,0.9895964205218352,0.05532028701899101,0.6916400323042998,0.0034224024995332647,2.890388797695759,3.341191762444956,2.057813054367881,0.2813819285724779,0.9990973055509377,0.00565127853512648,2.8938801958534475,120.00753655058348,236.5122341395399,0.2560327725000954,67.71279949257945,0.4882492083476403,153.96457784154316
2,2,2553,1.5714352243538703,0.9732222271885445,0.05244225186988554,0.5427119281424572,0.01141182866744198,3.047442037733312,2.938813183111717,1.937555610038629,0.25114118473349983,0.7470986749569679,0.015115052009020774,3.0026318906059495,114.45976529713192,229.49738402777143,0.2751230399450612,69.92268865305239,0.5260672999885544,161.7242408214824
3,3,2553,1.452682537287532,0.9657063003858537,0.049592383076023504,0.4342456791174911,0.023219589130129246,3.1149508567403634,2.537569786736304,1.7463676972197248,0.20553180569401455,0.5826087797271028,0.024800042878792478,3.036700278517173,103.3857975897524,217.88056804493618,0.31167734920453244,73.3497159693807,0.5961189958414406,166.66446015180887
4,4,2553,1.3863531434671392,0.9598119097320043,0.046394489162747084,0.37696308018971647,0.031047477414981085,3.1525930558939423,2.260231632457468,1.5729087402651194,0.16578585854768277,0.5184512729356269,0.027284584721599166,3.058483835514833,89.688937254397,206.77708717359607,0.37862443249017586,77.55399336976245,0.6752842318110717,170.15878985981553
5,5,2553,1.3517169342571458,0.9537165724339319,0.04400899244601522,0.3507875022447394,0.03225649583864413,3.171651153624221,2.154823410863378,1.503294177607505,0.15528520938365906,0.4931385696592628,0.030954493894913834,3.0744903427629184,84.0022847188442,202.1494871585717,0.38648849719583384,76.73910499989866,0.6864579756590744,166.48776005154087
6,6,2553,1.3392787243028366,0.9518140483920452,0.043291244911204306,0.34095590253741054,0.034873131458321785,3.1826730826019634,2.1392399553911794,1.4944518842702739,0.15727058152491336,0.4844022132579953,0.03410494674896401,3.081134704590062,82.71590688084797,201.5540973585427,0.3796354583953302,75.00929889734988,0.670462782801114,162.73660923461284
7,7,2553,1.3384117684642614,0.9498305258170044,0.04283749288815496,0.3425539500378087,0.03403025404453464,3.1557482326446307,2.1087484149330744,1.4741801052895034,0.15092766664890686,0.4805730750369196,0.03339677190057839,3.0341822248281813,82.12078261996693,200.18241588414057,0.40082408149250315,78.81159923836248,0.6815554538170997,164.15417586187573
8,8,2553,1.3375384474659826,0.9485308182120463,0.04254779787030096,0.3433226849628438,0.03371889917840222,3.10339353629014,2.1693310236049435,1.5307985082425624,0.1633161374495581,0.4721856588092483,0.033166054232883636,2.997530973051756,85.610187442176,203.9903758895565,0.3753910571897295,76.59245838609029,0.6515775819312503,159.00535516606817
9,9,2553,1.3298663313814671,0.9444700926060752,0.042737033590236645,0.3395785797216637,0.03224877757485409,3.0483692563658735,2.120172969076799,1.488749321351011,0.15699418065639906,0.47146262421255747,0.03246310708923458,2.9344017955085375,82.98182465213198,201.169173394448,0.38709415894090266,80.5604205899062,0.6750410133150204,165.14880247677502
