epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
0,1.3392622024839855,0.9229323317534691,0.05367207378138089,0.3598056642318479,0.03187784583970367,2.820248161190189,6.849684097156776,5.0922956049124215,0.2733143908000994,1.481410709553723,0.10683675335021556,2.5565589866253964,123.03487819552144,456.8863238886798,0.2679552477967266,84.72874110881405,0.373669451756896,120.69816320110117,1.0,0.2963749153248107,0.24273760630582442
1,1.2276887785815824,0.8751954489746266,0.0480336080059851,0.30210406467973455,0.038615900080959234,2.3170359041910555,6.626350746428556,4.8970194400624045,0.22030277740514304,1.5067020710163297,0.12091785577313775,2.205595048325032,108.3774812813412,448.0404982931659,0.49430582579832893,132.81838303366192,0.6328831406661325,191.36016225594693,1.0,0.22795579237965397,0.25144563374836815
2,1.1941405262601632,0.8445840808111887,0.045315332293727854,0.30221628860268307,0.03936225743494192,1.9854644966470238,6.572692260727725,4.864311985477517,0.20734259809736286,1.4989642882692986,0.11770984490155914,1.955803525465583,111.64202531335246,446.54175267846784,0.5196577772690855,142.4099373049185,0.7362843844187554,232.3925368434293,1.0,0.22969726192505946,0.2667539631954802
3,1.175926952744321,0.8281054222861789,0.044603202941966416,0.3015309076753138,0.03848960777408467,1.648928912800779,6.595583231529355,4.877425544321216,0.21307184404774662,1.503335246251536,0.11764324204462186,1.633032705290743,118.53989539667268,447.14325483156324,0.5146026477433139,146.82903796354583,0.7230838197703254,229.7659777189801,1.0,0.2768500661054974,0.30608730599999057
4,1.1340943381654556,0.7867961295579289,0.04391424520161574,0.3019841430787834,0.040104787717150876,1.359718314506747,6.568810325909414,4.883361507510312,0.20012894784205562,1.4837765764810475,0.10734772882525027,1.4359498142964155,117.4960267233342,447.41526238606923,0.5137537675021937,154.49114797192735,0.7320209072526802,242.64877635910258,1.0,0.26462305469908803,0.30491832744736935
5,1.0880761281994151,0.7429779858282788,0.04310338614372352,0.3008020552304439,0.03935885564652319,1.1533399787603715,6.355923838963753,4.68493713019549,0.1840265918422021,1.4856727575706108,0.1013973119449183,1.1860393616486513,118.37203655699182,438.2311371608329,0.6830624546945939,196.80325639312932,0.8779615428636832,321.46247318933365,1.0,0.28028792990399654,0.32565540986905767
6,1.0475017066789682,0.7021815180904963,0.04279509740294387,0.3016030252696761,0.03962291224280384,0.8824395323084511,6.36704857522404,4.70686259562135,0.179420269657337,1.4796828892812366,0.10977942288336348,0.9730938580238916,118.63630177074093,439.25540894470385,0.7186725039105719,204.6742345323767,0.8875996718934799,330.1938257673305,1.0,0.26206730574200016,0.3263038726747659
7,1.01143807799143,0.6673926556732761,0.042159097117637837,0.30133742131357877,0.03945073470460644,0.5094511983741824,6.4122651103665245,4.7605794262464185,0.17808505742710148,1.4727302328275709,0.09751922123605714,0.7728241210782284,124.82924763145125,441.7547883214901,0.7464614093319598,224.82654083835268,0.8808515508755865,345.7854413089328,1.0,0.24942576805859681,0.3189359203437015
8,0.9662520438517811,0.6240134313497085,0.041054177336563684,0.30073388558046305,0.03871419648773082,0.4118343832655359,6.714555637228539,5.0337642745184255,0.1884494949990509,1.4917968753944877,0.11325698084698617,0.4318041623327734,138.84018788107213,454.25298542032635,0.6588312159017207,203.2207273052702,0.8350310938155736,324.2374319226661,1.0,0.29074372174534174,0.3547477411797407
9,0.9198482162447787,0.5802805606753854,0.04035071383342698,0.2988884524015558,0.03854129919214273,0.2899432969551887,6.753695783007809,5.088069954163677,0.18489911502059406,1.4801472120773258,0.10477017420502349,0.4748649250844312,139.16046197766144,456.6967286742416,0.6829527679218649,217.35655693667496,0.850463545839533,360.13168590059996,1.0,0.22526462857928173,0.31560423973919427
