epoch,stage,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight
-1,warm_start,,,,,,,6.293252576549743,4.638107958497155,0.1763229716611397,1.476907279646849,0.10374529799984769,1.8106074644551338,109.49942455427826,436.03543630682873,0.6940025180267827,238.62587078778947,0.835450764946015,322.6797324700865,1.0,0.40859352897867296,0.3688750153359016
0,adapter_training,1.0302239636097978,0.6835384033961436,0.042743203519039416,0.3020974863685075,0.03981750180442516,1.8050557252151516,6.275681009445554,4.621926520743338,0.17493284098685463,1.476907279646849,0.10374529799984769,1.8106074644551338,112.59619745131755,435.27415281849835,0.7037312578688337,243.9441472270707,0.8411020182366182,331.5952343481744,1.0,0.40859352897867296,0.3688750153359016
1,adapter_training,1.0278915710828833,0.68131187386334,0.04263733371996429,0.3020974881652169,0.03981750181792237,1.8050557296490453,6.268052770920022,4.614057079677289,0.17517417031003993,1.476907279646849,0.10374529799984769,1.8106074644551338,113.93509285223762,434.90342009413337,0.6983995269161802,243.8195435934877,0.8403342108275151,333.7971700067481,1.0,0.40859352897867296,0.3688750153359016
2,adapter_training,1.026545313507639,0.6800035271739068,0.04259942161235186,0.3020974879317517,0.039817501891123444,1.8050557354603838,6.26417310628006,4.610120348933361,0.1752311234656946,1.476907279646849,0.10374529799984769,1.8106074644551338,114.94410277859248,434.7178611333912,0.6983041471138072,245.07525727211382,0.8401959101140742,336.1327042290212,1.0,0.40859352897867296,0.3688750153359016
3,adapter_training,1.0259821035099588,0.6794510396124207,0.0425887001954402,0.30209748736073466,0.03981750185811,1.805055751481935,6.267033390822762,4.61314075884969,0.17507101926785032,1.476907279646849,0.10374529799984769,1.8106074644551338,117.53306029747172,434.8602482359498,0.7027726908549845,248.16702642735873,0.8418984395864332,340.65230947288353,1.0,0.40859352897867296,0.3688750153359016
4,adapter_training,1.0255547921480868,0.6790296168009274,0.04258281151434523,0.30209748670605924,0.03981750185400612,1.805055728427244,6.2626240361032925,4.6083996432507295,0.1754028163052975,1.476907279646849,0.10374529799984769,1.8106074644551338,116.950215580708,434.6367300411178,0.6995297775743009,247.41777910812732,0.8402722139559727,339.8704033641649,1.0,0.40859352897867296,0.3688750153359016
5,adapter_training,1.0252935902336513,0.6787692093462797,0.04258202906233064,0.30209748569632217,0.03981750183360831,1.8050557314039255,6.268975954199664,4.615052799548098,0.17510154333975708,1.476907279646849,0.10374529799984769,1.8106074644551338,119.28852274718868,434.95036026051525,0.7056340849261761,250.61833876402082,0.8456277898592194,344.7287292608542,1.0,0.40859352897867296,0.3688750153359016
6,adapter_training,1.0250885186522147,0.6785687967307295,0.04257735807675464,0.30209748732279657,0.03981750183193636,1.8050557281431945,6.266682402036263,4.61277278107228,0.17508799439626357,1.476907279646849,0.10374529799984769,1.8106074644551338,119.1480406119747,434.8428956972565,0.704880584487429,250.38132856166067,0.8464623631299836,344.72803336087424,1.0,0.40859352897867296,0.3688750153359016
7,adapter_training,1.024806662067843,0.6782875731561875,0.0425767261212881,0.3020974879379531,0.03981750186461541,1.8050557422522764,6.267309530699664,4.613312410853937,0.1751755139625999,1.476907279646849,0.10374529799984769,1.8106074644551338,119.73507883587759,434.86833851898996,0.7046755179123269,250.9510925719104,0.8460093090687116,345.573512715916,1.0,0.40859352897867296,0.3688750153359016
8,adapter_training,1.024717154390105,0.6781977936821251,0.04257699672748677,0.30209748718223106,0.039817501940552405,1.8050557408748316,6.268105098388213,4.614308478219246,0.1749750139046564,1.476907279646849,0.10374529799984769,1.8106074644551338,120.23792802804047,434.9152839465439,0.7055720880546336,251.4648606836407,0.8473017053908665,346.6790819127704,1.0,0.40859352897867296,0.3688750153359016
