epoch,stage,trainable_parameter_count,early_stopping_wait,learning_rate_default,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh,validation_mean_ctf_fusion_weight,validation_mean_dgf_fusion_weight,validation_std_dgf_fusion_weight,validation_selection_total,validation_selection_mae,validation_selection_rmse
0,training,171212,0,0.0003,0.6031821282935284,0.31750478416930805,0.09075082230844783,0.19203305439097432,0.014543544513013061,2.8789253293035033,1.4040802236626373,0.8495890691004889,0.35288478036229787,0.19925190654529018,0.027100422692384846,2.3273734050360835,59.19497306340253,270.7194996429349,0.3470775628552898,54.403734096908266,0.6228062645454199,109.85141436324444,1.0,0.4998251797201378,0.17668524269433056,1.4040802236626373,59.19497306340253,270.7194996429349
1,training,171212,0,0.0003,0.493077713505591,0.2694287082457043,0.08332638807500296,0.13878060751786953,0.018066124258693306,1.523943752021703,1.373678078688404,0.8198630044071983,0.35414314786707957,0.19904273830689348,0.02668507236685048,0.602503274976218,57.88925855858615,269.6274773366566,0.36436038304528634,55.487982629251555,0.6274083400099195,110.18421356968449,1.0,0.4866649107678171,0.1887384394574853,1.373678078688404,57.88925855858615,269.6274773366566
2,training,171212,0,0.0003,0.48469826176706887,0.2636208030167414,0.08192892132199801,0.13880211882035562,0.018044667354243087,0.3283746906974952,1.3623310721778783,0.808623784440762,0.3549729293627803,0.19841671216569068,0.026866386353217437,0.29078598676085865,56.91892585464774,268.87109069613444,0.3693296707489222,56.77479433357536,0.6234548472015566,108.79536114369921,1.0,0.4544735466400155,0.1784609834118885,1.3623310721778783,56.91892585464774,268.87109069613444
3,training,171212,0,0.0003,0.4807529714489696,0.2606567841263299,0.08103031069276195,0.13875597804824172,0.018058058973825244,0.29184035761599975,1.3464519458408144,0.8012347609824606,0.34628254569673805,0.1986308816078054,0.0273600997475962,0.2764007210717862,55.68197838499938,267.92600494067676,0.3884485521346,58.43191012882831,0.6337797108084392,109.56550394216646,1.0,0.48071988561926493,0.1842106187871999,1.3464519458408144,55.68197838499938,267.92600494067676
4,training,171212,1,0.0003,0.47872385489803093,0.25915880787727263,0.08053438259694831,0.13873562697162067,0.018057895652558147,0.276979280019494,1.3606175735679824,0.8081078978865756,0.3526290127860643,0.19958975773504672,0.026448837788753177,0.2644556047572033,56.15717338639729,268.2121173707389,0.38930220136583876,58.312748956187285,0.6315096715119606,109.26163037465186,1.0,0.4487749250872688,0.1727658582580454,1.3606175735679824,56.15717338639729,268.2121173707389
5,training,171212,2,0.0003,0.4773191960054479,0.25823972960283653,0.0800957380043632,0.13870512940195187,0.018079123194721665,0.2605207452596342,1.3492600850379752,0.8132792116610016,0.3367116467696149,0.1989938931319429,0.027311283407509632,0.24802830648173918,56.88237845669816,268.45580818800613,0.41757754377932926,64.06768584829008,0.663628819961085,117.4245604630451,1.0,0.4817308391920191,0.1777507319707596,1.3492600850379752,56.88237845669816,268.45580818800613
6,training,171212,3,0.0003,0.4763235108678805,0.2576269410276881,0.07971995351729841,0.13871661437691438,0.01810110864635435,0.24190088832602905,1.3582749701588681,0.8125396612765138,0.34592465220896074,0.1995531757433286,0.026823161312084634,0.23064826172379452,57.363288133366595,268.63190919862006,0.4085641524550761,63.260800980206305,0.647943611460837,115.28838962530044,1.0,0.46626747198004076,0.17912658027264408,1.3582749701588681,57.363288133366595,268.63190919862006
7,training,171212,0,0.0003,0.4755987648187812,0.2572020053680644,0.07948080558882051,0.13867265269041837,0.018124106528600033,0.2251774227232689,1.3444326677556522,0.8068098234232522,0.33863117909887175,0.19875220524540915,0.027626848647973625,0.21182825586111415,56.05086645844064,267.96921685209486,0.41480199153027353,63.76086010823223,0.6603477547594522,117.73356743858733,1.0,0.4655437729267803,0.17860374135159204,1.3444326677556522,56.05086645844064,267.96921685209486
8,training,171212,1,0.0003,0.4751612001865951,0.25700740915922,0.0792436128519583,0.13868469764485603,0.018135040405007283,0.20734613538522834,1.3534725085506316,0.8156995367639546,0.3387580067456567,0.19879206361310275,0.027401734474793552,0.19549632509915577,57.614870283096195,268.7720036588335,0.4266767769257182,65.50763299223132,0.6685265728129411,119.88505582550027,1.0,0.46440991336216636,0.17273033398970325,1.3534725085506316,57.614870283096195,268.7720036588335
9,training,171212,2,0.0003,0.4747712214969385,0.2567735579498148,0.079115435965755,0.13867113148451315,0.018154106806668992,0.19294233208416806,1.3531392451840052,0.8148568280333716,0.3382594520114196,0.199812646160904,0.0270481686320685,0.18325683317120867,56.62805452419935,268.1067418621774,0.4225229865323719,65.6941813737851,0.6658464003662584,119.59115954417993,1.0,0.4527719360947686,0.17613169975137877,1.3531392451840052,56.62805452419935,268.1067418621774
10,training,171212,3,0.0003,0.4742324915849458,0.25648670506662574,0.07887925035993638,0.1386689655930852,0.018186869182513013,0.17938515410181566,1.3471413488599273,0.818815255916895,0.32882768766014586,0.19929862633830175,0.027355699197798403,0.17239924400782194,56.69341846576819,268.02808484956745,0.4388901606195872,68.49187133085823,0.6838874899851207,123.43427340560739,1.0,0.45679080167478364,0.17395024393101002,1.3471413488599273,56.69341846576819,268.02808484956745
11,training,171212,4,0.0003,0.47388528293271687,0.2562488481469762,0.07880626996054407,0.13864411435508311,0.018200327597347285,0.16785024644007576,1.3538773951083474,0.8169591491249942,0.3371186639597245,0.19961320356180948,0.026759828844947552,0.1596170583469338,57.30218249013862,268.5121602359246,0.42442104459959556,65.98526516181184,0.667691999542177,120.09777987116573,1.0,0.45402220570687724,0.176538057438397,1.3538773951083474,57.30218249013862,268.5121602359246
