epoch,train_total,train_point,train_quantile,train_decomposition,train_smoothness,train_sparsity,validation_total,validation_point,validation_quantile,validation_decomposition,validation_smoothness,validation_sparsity,validation_mae_aud_per_mwh,validation_rmse_aud_per_mwh,validation_coverage_80,validation_mean_width_80_aud_per_mwh,validation_coverage_90,validation_mean_width_90_aud_per_mwh
0,2.053983664643326,0.9878721579780967,0.19482839924335107,0.8684106925174232,0.00046122020833229264,2.871933617065358,28.082564920921847,19.003256941494875,0.6192737424210326,8.457132561566079,0.0033206748616664786,2.89898892428777,104.36733376141552,299.63911893838815,0.2511415525114155,46.3269629352169,0.4454337899543379,98.74057862442922
1,1.5187721011128945,0.7990050568254832,0.13759891023114032,0.5791187883823666,0.0030835367518221154,3.0462490616128512,24.372341385932817,16.853060824250523,0.45420645834648443,7.06192980204543,0.02115737713158947,3.12372768545804,81.52120077054795,282.1784677668246,0.320662100456621,59.97439711757991,0.5594748858447488,128.63274828767123
2,1.1306645596223412,0.6304222160983851,0.10508570077952316,0.3919147301345667,0.011795022919447326,3.230117867304743,22.597196317698856,16.270153918331616,0.3702846276433501,5.953535923892504,0.05823335500612651,3.1648393859602,70.69674479166666,277.2555877866199,0.36210045662100454,60.120892194634706,0.6535388127853882,131.86073059360731
3,1.0018616358376893,0.5994471164307934,0.09723175817644027,0.3018854727666641,0.022739469551407647,3.2745572458325465,21.800281644847296,15.963703202548093,0.3562716591848086,5.477028049834787,0.08891858719799617,3.1894216315387047,68.15182559218036,274.63208514625677,0.3404109589041096,54.571557505707766,0.6323059360730594,122.21063784246576
4,0.9426467354258431,0.5884698365195804,0.09231535990021615,0.25856211767499115,0.0313970998087103,3.2680447362975955,21.358474062566888,15.792450928361449,0.3424021177912412,5.220317048895849,0.12120303776982712,3.184549137010966,66.76225296090183,273.15503860290636,0.33093607305936074,55.165648187785386,0.6292237442922375,121.05489797374429
5,0.9110546485464743,0.5826693835581479,0.08962040494313535,0.2354925205069029,0.0372051739118579,3.235151196422293,21.049665179317945,15.632060299180958,0.330835293580408,5.083415952447343,0.15672495075284618,3.1970993989134486,65.44793093607306,271.764405758817,0.3378995433789954,55.35579159531964,0.6363013698630137,120.53498858447489
6,0.8928830351041646,0.5773246237889994,0.08796484375732806,0.22433735501420807,0.041497070336467885,3.2147131335856676,20.940381470771683,15.570562582146632,0.3302727897689767,5.036170784414631,0.17972734848113908,3.1948575490141566,64.98745005707762,271.2293049151379,0.3373287671232877,56.179287956621,0.6317351598173516,121.01345248287672
7,0.882396216119932,0.5737825340606686,0.0867794284548905,0.21860315900999022,0.04364174466723096,3.1874430595941625,20.850215619230923,15.501832496956602,0.32114948850788483,5.023856409935102,0.19515003284362897,3.1814141097134105,64.16441834332191,270.63005339224014,0.35228310502283106,57.87486800799087,0.6431506849315068,122.92725099885845
8,0.8746981856966728,0.5706938718946631,0.08578530346614453,0.21501410931652193,0.04500286602294809,3.1598986746654347,20.78321613154999,15.448112419860005,0.31681567944892464,5.014922707701382,0.20175031260268328,3.162718120993,63.52796357734018,270.16070137273863,0.3569634703196347,59.087020191210044,0.6501141552511416,125.27635202625571
9,0.8704227467673592,0.569368316871446,0.08530993652278404,0.21256834381758094,0.04575074236539536,3.1303842674500326,20.73696655900511,15.401671537634444,0.3174767002667466,5.014480569917862,0.20415961546440647,3.133563906525912,63.30911636700913,269.7543212547603,0.35684931506849316,58.84634703196347,0.6454337899543379,123.49849814497716
